lause|form|classification
""" Ilus tähistaevas on külm reaalsus , millel meiega eriti tegemist pole , "" ütleb astronoom Ene Ergma , kui astume Tartu tähetornist välja ja satume Toomemäel jalutades otse sügistalviselt täherikka taevalaotuse alla ."|tähetornist|"LOC"""
Masina eesosas liigub pöörlev pea , all sahad nagu vanadel lumekoristusmasinatel .|eesosas|LOC
Kobaras koos tõttasid nad Rocca al Mare suurhalli esiselt Kakumäe poole , esimestel kilomeetritel õhkus sammust särtsu ja olekust kuraasi .|esiselt|LOC
"""Istusin otse soojadele sütele asetatud labidale ja suigatasin seniks , kuni tagumik kuumaks läks , "" lausus Tallinna üksik-päästekompanii noorsõdur ."|labidale|"LOC"""
76-aastasel Lennart Meril oli augustis ajuoperatsioon , pärast seda käis ta korralistel uuringutel Tallinna diagnostikakeskuses ja Mustamäe haiglas .|diagnostikakeskuses|LOC
"""Spordikommentaatori rollis astus Kalkun nendel aastatel üles mitmete oluliste spordivõistluste toomisel TV3 vaatajani : näiteks kergejõustiku mitmevõistlejate Reval Hotels Cup , murdmaasuusatamise MK-etapp Ramsaus , talvine Jumping Gala , suvine Kadrioru kergejõustikuõhtu ja jäähoki MM-võistluste mängud ."|toomisel|"NONE"""
"""Homme lõunani peame veel kindlustama , et vaenlane Avinurmest edasi ei liiguks ."""|Avinurmest|"LOC"""
Valge Maja kõnekirjutajate meeskonna boss istus presidendimaja läänetiivas oma akendeta toas ( nahkhiirekoopas , nagu ta ise nimetas ) ja tunnistas , et veel mõne päeva jooksul võib president kõnes muudatusi teha küll .|läänetiivas|LOC
Karin istub Veikole lähemal kui Naima .|Veikole|NONE
""""" Kursman ( maadlejate peatreener ) käib ära Saksa-turneel ja kirjutab : "" Seal on iga sportlane pandud juhi režiimi alla ."|Saksa-turneel|"NONE"""
Talihooajal jooksis teravamalt Igor , suvel Oleg .|Talihooajal|NONE
"""Analüütikud oletavad ka , et Lebedi ja Tshernomõrdini vahel käib Tshetsheenia konflikti lahendamisel võistlus , millest kumbki lootvat endale plusspunkte , juhul kui Jeltsiniga midagi juhtub ja uued valimised toimuvad ennetähtaegselt ."|lahendamisel|"NONE"""
Ametlikku metallikokkuostu kanalisatsiooniluuke vastu ei võeta , kuigi Kuusakoski Kohtla-Järve juhi sõnul käib igal nädalal ikka paar pakkujat lootusrikkalt malmist luukidega kohal .|malmist|NONE
Seetõttu polegi tänaval ootamatu vaatepilt , kui vanem kolme lapsega on end ära mahutanud ühele jalgrattale : kaks pisikest põnni istuvad rattatoolides - üks lenkstangist ees- ja teine tagapool - ning pakiraamil on kõige suuremale lapsele jäetud kõige ebahuvitavam koht , täiskasvanu seljatagune .|rattatoolides|LOC
Nooruspõlves käis suusatreeningutel Anti abikaasa Kaija .|suusatreeningutel|NONE
"Briti sarjadest jookseb argihommikuti Yle1-st "" Heartbeat "" , enam kui kümne aasta eest alanud draamasari , mis pajatab Aidensfieldi küla politseijaoskonna tegemistest 1960. aastatel ."|Yle1-st|NONE
Teraapiatoas istuvad inimesed vaguralt värviliste maalide ees ja ootavad imet .|Teraapiatoas|LOC
"""Ning vahe on ka selles , et üks neist elab umbses provintsilinnas , teine liigub tuledesäras ja maailmalinnades , kus saab "" armastada avarust "" , hõõrdumise puudumist , jah , just seda "" ( Aino Kallas "" Suurlinnade udus ja säras "" ) ."|tuledesäras|"NONE"""
"""1992. aastal kuulutasid Vene miilitsad Smirnovi juhtimisel välja Dnestri-äärse vabariigi sõltumatuse ja astusid otsustavalt vastu Stalini-aegse vägivallaga Rumeeniast eraldatud Moldova liitmisele emamaaga ."|liitmisele|"NONE"""
""" Võimalik , et Jaanson ja Tasane istuvad selleks regatiks roolijaga kahepaati , "" avab Tults laiema avalikkuse eest varjul olnud kaardi ."|kahepaati|"LOC"""
Ka praegu liigub praam Venemaale kuuluvast Suursaare lääneküljest mööda väikese ringiga , igaks juhuks .|lääneküljest|LOC
"""Šanghais käis nimelt visiidil kõige kõrgem Taiwani ametnik , kes kunagi Hiinas käinud ."|Šanghais|"LOC"""
Klaveriklassis käib töö laste muusikakooli programmi järgi .|Klaveriklassis|LOC
Miks mullu käis reservõp-pekogunemistel nii vähe kaitseliitlasi ?|reservõp-pekogunemistel|NONE
Pereleheküljel käime külas erinevates kodudes , anname nõu , kuidas last kasvatada ja arendada , teavitame põnevatest huvialaringidest ja kogu-pere-üritustest .|Pereleheküljel|NONE
Tallinna linnaplaneerimisameti planeeringute osakonna juhataja Martti Preemi sõnul on 15 aastaga pealinnast uusasumitesse lahkunud 17 000 elanikust suurem osa läinud Viimsisse .|uusasumitesse|LOC
Newsted osales kuue Metallica albumi koostamisel , mida on maailmas tänaseks müüdud üle 55 miljoni eksemplari , käis koos ansambliga mitmel maailmaturneel ja tegi kaasa kokku üle 1000 esinemise .|maailmaturneel|NONE
CORPUS CHRISTI , 15. veebruar ( AP-EPLO ) - Advokaat , keda USA asepresident Dick Cheney nädalavahetusel kogemata jahikäigul tulistas , sai teisipäeval kerge infarkti , kuna üks teda tabanud haavlitest liikus südamesse .|haavlitest|NONE
Paar kuud pärast 160 inimelu nõudnud rongipõlengut käib Austria suusakuurordis Kaprunis pidu nagu muiste .|suusakuurordis|LOC
Varem on Ühispangast Tallinki omanikfirmasse Infortari liikunud SEB juhatuse sekretär Kitty Nõvandi , SEB Balti IT-juht Tõnu Liik ja panga finantsdirektor Ülo Suurkask .|Infortari|NONE
""" Käisime vastase ohtlikele pommitajatele varem peale , sundisime neid kaugemalt viskama ."|pommitajatele|"NONE"""
""" Iga on juba selline , et kui platsile ei saa , siis tuleb suvel midagi ette võtta , "" ei välista Norra Stavangeri Vikingi huviorbiidis olnud ja Valerengas testimisel käinud kaitsja klubivahetust ."|Valerengas|"LOC"""
Kas Rautatientorile ehitatud spetsiaalsel 730-meetrisel vormelirajal istub rooli Jarno Trulli , Ralf Schumacher , Ricardo Zonta või Olivier Panis , pole praegu veel teada .|vormelirajal|LOC
"Jätkuvat majanduskriisi põdevast Moldovast olevat kümne aasta jooksul lahkunud ligi miljon inimest , kusjuures suur osa nendestki võib olla "" haltuuratööl "" või suisa orjuses Vene suurlinnades ."|Moldovast|LOC
Ja üllatus-üllatus : sel laupäevaõhtul istub Barbaras vähem inimesi , kui on pillimehi ansamblis MTJ , kes mängib laval rahvalikke lugusid .|Barbaras|LOC
Viimase kolme päeva jooksul Eesti ja Soome piirivalve koos-töös teostatud seirelendude tulemusel on võimalik järeldada , et reostus liigub piirkonnas umbes seitsme kuni kaheksa meremiili raadiuses .|raadiuses|LOC
Riideski käid sa teistmoodi kui teised : kas särad liiga palju või käid matkariietes .|matkariietes|NONE
"""Kui enne lüpsis peremees masinaga tunniga oma loomad ära , siis nüüd käib naabrinaine Männiku perenaisel abiks käsitsi lüpsmas ning kahekesi kulub paar tundi ."|perenaisel|"NONE"""
Koolitüdrukud käivad Tatjanal abiks loomade lakka kammimas ja nende jalgealust kasimas .|Tatjanal|NONE
Toomas Berendsen jooksis Weinheimis 100 meetrit 11,0 ga ja hüppas kaugust 7.14.|Weinheimis|LOC
Keskkonnaministeeriumi kiirguse ja õhu talituse juhataja Juhan Saar ütles , et keskkonnafondile käib Estelile raha andmine üle jõu .|keskkonnafondile|NONE
1993 : Rühkis Suure slämmi turniiridel Austraalias , Prantsusmaal ja Wimbledonis veerandfinaali , ent lahkus avaringi kaotuse järel USAs võistluskarussellilt .|võistluskarussellilt|NONE
Linna piirest välja jõudnud , istusid röövlid koos ekskavaatorijuhiga Ladasse , sõidutasid ta Kolomenskoje metroojaama ja ajasid autost välja .|Ladasse|LOC
"""Joogikontsernist ASist Ösel lahkunud Olari Taal peab oma järgmiseks missiooniks aidata Eesti vanimal järjepidevalt tegutseval poliitilisel ühendusel Res Publical üles ehitada üleriigilist poliitilist organisatsiooni , kirjutab ÄP Online ."|Joogikontsernist|"NONE"""
Ema kartis , et jookseb meelehärduses lapse juurest liiga ruttu minema .|meelehärduses|NONE
Edasi liigub ta majutuskeskusse , kus on garanteeritud tõlketeenistus , arstiabi , haridussüsteem ja juriidiline nõustamine .|majutuskeskusse|LOC
Siis on kohe näha , kes käib purskkaevusid šampoonitamas .|šampoonitamas|NONE
1999. aastal asutas Kalev Kurg koos Julianuse Inkassost lahkunud Leedu päritolu Vladas Radvilaviciusega firma Total Inkasso .|Inkassost|NONE
""" Uues infosüsteemis liigub info koos patsiendiga - igas raviasutuses , kuhu patsient pöördub , on info teda juba ootamas , "" kirjeldas "" Tervishoiuprojekti 2015 "" IT-konsultant Henrik Aavik ."|infosüsteemis|"NONE"""
Praegu käib ettevõtte majandustulemuste arvutamine vastavalt Leedu raamatupidamisstandarditele , teatas firma infoteenistus .|raamatupidamisstandarditele|NONE
See kuri Pärnu ranna liiva sees mõjub sedavõrd ohtliku ja tundmatuna , et Kivõli naine , kes endale liivasiili jalga astus , nõudis kohe bioloogilist ekspertiisi , et ega teda lisaks tehtud valule ometi mõnda tundmatusse tõppe või viirusesse nakatatud ole .|liivasiili|LOC
Ma ei pea siinkohal silmas mitte ainult rindemehi , kes 1944.aastal Eesti Vabariigi presidendi kohusetäitja Jüri Uluotsa üleskutsel relva haarasid ja vaenlasele vastu astusid , vaid ka lootusetus võitluses Eesti metsades langenud mehi ja naisi , vastupanuliikumises ühel või teisel perioodil osalejaid , koolinoorte salaorganisatsioonide liikmeid , Hirvepargis , Balti ketis ja 1991.aasta augustil barrikaadidel seisjaid , aga ka iga eesti meest ja naist , kes raskele survele vaatamata hoidis eesti keelt ja meelt ning andis järeltulevale põlvele edasi unistuse vabast ja iseseisvast Eestist .|vaenlasele|NONE
Põhja-Afganistanis käivad ägedad lahingud Talebani ja Põhjaalliansi vägede vahel , samas kui Pakistanis protesteerivad inimesed valitsuse USA-meelse poliitika vastu .|Põhja-Afganistanis|LOC
"Selle arusaama rõhutamiseks ütles prohvet Muhamed sõjast naasvatele jüngritele "" Täna astusime väikesest džihaadist suurde džihaadi , "" mõeldes sellega sõjategevuse lõppu ja rahumeelse eneseparandamise ja enesekontrolli võitluse algust ."|džihaadist|NONE
Noole näopilt on läbi käinud ootuspärase teekonna väljaannete esikülgedelt tootereklaami ja tagasi .|esikülgedelt|LOC
Jeltsin on üle aastakümnete esimene Venemaa liider , kes lahkus võidupäeval pealinnast .|võidupäeval|NONE
Rapla kiirabi viis Rapla maakonnahaiglasse juhi kõrval istunud alkoholijoobes Rene ( s. 1978 ) , kes pärast esmaabi osutamist lasti kodusele ravile .|maakonnahaiglasse|LOC
Toulouse'i tuikuv krahv astub Sweetmani käsitluses sajandilõpu peamiste kultuurispasmidega nii sünkroonset sammu , et rohkem kui üks kord kerkib küsimus : mis eristas teda meinstriimist ?|käsitluses|NONE
Sellisest hinnatõusust tulenev toimetulekutoetuse suurem väljamaksmine ei käi Eesti riigieelarvele kindlasti üle jõu , sest majanduse edenedes suurenevad ju ka eelarvelaekumised .|riigieelarvele|NONE
Puukooli juhataja Alvar Peterson kinnitab , et rootslased on puukoolis käinud küll , uurinud ja kiitnud seda .|puukoolis|LOC
"""Rahvusvahelisele tantsupäevale pühendatud tantsuetendusel astuvad sel pühapäeval Ugalas lavale Eesti tuntumad balletiartistid , kirjutab Sakala ."|tantsuetendusel|"NONE"""
Istusin sel ajal hoopis Pioneeride palees Kalju Reiteli skulptuuriringis .|skulptuuriringis|LOC
""" Käisin korduvalt kopteripardalt otse reaktoripütti vaatamas ."|kopteripardalt|"LOC"""
( Mäletate seda peseupulbrireklaami , kus ämm istub noorpere abieluvoodil ja pärib minialt aru pere kulutuste kohta pesupulbrile ? )|abieluvoodil|LOC
Nii tuli ta 7. mai õhtul kauplusesse Kevad , kust võttis kaks pakki Marlboro sigarette ja kõndis müüjate takistamispüüetele vaatamata minema .|takistamispüüetele|NONE
SR-il pole korraldajat , inimesed käivad koos fanatismist .|fanatismist|NONE
"""Ettevõtlik tütarlaps ise on end juba kavaleri kodukandi kooli nimekirja sättinud ja käis paari päeva eest Kaagverest omi asju ära toomas ."|Kaagverest|"LOC"""
Juulis-augustis käib rästik sageli jahil , et nuumata end sügiseks ja talveks .|Juulis-augustis|NONE
Hinnanguliselt liigub piletimüügis sularaha üle 300 miljoni krooni aastas .|piletimüügis|NONE
Samuti ootab teisipäeval allkirjastamist ratifitseerimiskiri , mis käib isikuandmete automatiseeritud töötlemisel isikukaitse konventsiooni kohta .|töötlemisel|NONE
"""Aga vahel oli laev nädal aega viltu ja vööris magajatel käis laine kogu aja vastu nina . """|magajatel|"NONE"""
Lahi initsiatiivil käib fondis praegu ka jooksev inventuur .|fondis|LOC
Politsei korrapidaja sõnul käis kiirabi narkosõltuvuses Raivot turgutamas , sest ilmselt tekkisid tal uuest uimastiannusest ilmajäämise tõttu krambid .|narkosõltuvuses|NONE
Statistika järgi käib internetileheküljel  ligi kuus miljonit huvilist kuus .|internetileheküljel|NONE
""" Eks me ise peame ka vaatama , et me herilasepessa ei astuks ."|herilasepessa|"NONE"""
Paralleele võib tuua Eestis vähetuntud , kuid maailmas oma ala üheks turuliidriks peetava firmaga Playtech , millel on Tartus ligi 200-pealine IT-meeskond - nende käe all jookseb suur hulk maailma edukaimatest internetikasiinodest .|internetikasiinodest|NONE
""" Korralikult hööveldatud laudadest , et keegi enesele pindu tagumikku ei istuks . """|tagumikku|NONE
Maimik : Ma käisin ühel oma punkarist sõbral EÕM-is külas ja Olari Elts sõimas mind läbi .|punkarist|NONE
"Meeldejääv "" Mehed koju ! "" , kus kõrtsist väljuv Robert Gutmani mängitud mees ka koerale helkuri kaela paneb , on tele-eetris käinud neljal sügisel ."|tele-eetris|NONE
Istume Kloostri Aida seinaorvas , rüüpame õlut , küsin lihtsaid inimlikke küsimusi , et asi päris mägedesse ei läheks ja ma aru saaksin , missugune Debelakk inimesena on .|seinaorvas|LOC
Res Publica meediajuhi Siim Männiku sõnul lahkus Ivanov kiirustas koosolekult seda farsiks nimetades ning asus meediale intervjuud andma , väites et Iljini jätkamine on Reformierakonna ultimatiivne nõue Tallinna koalitsiooni jätkamiseks .|kiirustas|NONE
Samal ajal , kui Rotermanni arhitektuurimuuseumis avati Mudistit aastatest 1970-2005 , käis Kunstihoones ümarlauaarutelu maalikunsti retseptsioonist Eestis .|retseptsioonist|NONE
Lahkun Jefreyst .|Jefreyst|NONE
 Sepa üheks jüngriks-õpilaseks oli Alliksaar , hiljem liikusid hääletades Lätimaale Ipikule ( Ööbikule ? ) , Eesti piiri külje alla , kus Sepp aastakümneid paikselt elas , meie ärksamate koolilaste kolonnid nagu palverändurid , said seal mõneks ajaks kosti ja peavarju .|Lätimaale|LOC
Läinud aastal lahkus Nuutmann MTG-st .|MTG-st|NONE
""" Saulius on juba turismiministeeriumis briifingul käinud ja saanud juhised , kuidas eestlaste ühekuulised viisad kahekuulisteks pikendada , "" nentis Riga ."|briifingul|"NONE"""
Gennadi Matrossov , Eesti NSV Julgeoleku Komitee 4. osakonna õhuliikluse eriolukordade kuraator , oli Eestist ainuke kagebiit , kes istus 3. mai õhtul Tallinnas erilennukile JAK-40 , et lennata otse katastroofipaika .|erilennukile|LOC
Alul käis perekoolis joogatundides , siis loengutes .|joogatundides|NONE
Matusetalituse järel liigub sark suurtükilafetil aupataljoni ja politseieskordi saatel Pärnamäe krematooriumisse .|krematooriumisse|LOC
Jooksu esimesel poolel liikusid teravaimalt Williams-Darling ja hooaja edetabelijuht Sanya Richards ( USA ) .|teravaimalt|NONE
Käisime veel Anne Osvetiga kuldkalale tere ütlemas ning üliarvutiseeritud istungitesaali külastamas .|kuldkalale|NONE
CANBERRA , 22. veebruar ( Reuters-EPLO ) - Austraalia teatas Iraagis teenivate vägede 50protsendilisest isikkoosseisu suurendamisest , öeldes , et 450 uut sõdurit hakkavad kaitsma Jaapani insenere ning treenima Iraagi armeed pärast seda , kui Hollandi sõdurid Lõuna-Iraagist lahkuvad .|Lõuna-Iraagist|LOC
Aleksander Tammert ( pildil ) astus College Stationis kevadesse karjääri paremuselt teise kettakaarega - Eesti rekordist vaid 31 cm nõrgem 67.10 viis maailma hooaja edetabelis kolmandaks .|paremuselt|NONE
Samas ei tohiks unustada , et tegelikult on firma enda huvides , et töötaja , kellesse nad ehk aastaid ( täiend ) koolituse näol on investeerinud ning kes oma tööd hästi tunneb , neil tulevikus käest ei libiseks ning hoopis omal soovil parematele jahi-maadele ei lahkuks .|jahi-maadele|NONE
Sama käib odaviskes Jana Trakmanni kohta , kes sai eile kirja 48.12 ( B-norm 59.00 ) .|odaviskes|NONE
Kajak sõnas , et käib küll vahetevahel saalis vehklemistreeningul , kuid seda rohkem oma lõbuks .|vehklemistreeningul|NONE
Kriitika kõrval jäi mainimata , et jutt käib ainult etiketist ja mitte tootest .|etiketist|NONE
Aga kui jutt käib NATO võimalikust laienemisest Balti riikidesse , siis vaadatakse seda vaid ühe poole seisukohast , jättes tähelepanuta Venemaa enda julgeoleku taseme .|laienemisest|NONE
Tapetud juutide arvu ei oska keegi öelda , sest tänu Hizbollah' võitlejatele lahkusid Iisraeli okupatsiooniväed Liibanonist .|võitlejatele|NONE
Loodame , et detailplaneering liigub kooskõlastusringil nüüd kiiremini , kuna aastaid veniv planeerimine ei võimalda kaitsta linna huve ning takistab ka eraomanikke ehitamast , tuues kaasa veel säilinud väärtuslike majade hävinemise .|kooskõlastusringil|NONE
Oopkauba sõnul on tööde tõttu Virtsu sadamas häiritud nii Saaremaa praamiliiklus kui ka sadama peamise kliendi , Euroopasse killustikku tarniva Nordkalk ASi tegevus , mõlema puhul käis töö terve juuni vähendatud võimsusel .|võimsusel|NONE
 Nõudlus Kuuba sigarite järele on pakkumisest alati suurem olnud ja turul on alati ka võlts-kuubalasi liikunud -võltskarpides , valede sigarilintidega ja valede seerianumbritega .|võltskarpides|LOC
Sarnaselt plaadimängijatega käib mikroskoopilise otsaga nõel üle molekulide , võimaldades arvutil luua neist kolmemõõtmelise kaardi .|nõel|NONE
Täna õhtul astuvad LHV ning tema töötajad Oliver Peek ja Kristjan Lepik USA-s kohtu ette süüdistatuna teabevarguses ning sellega 100 miljoni krooni ebaseadusliku tulu teenimises USA börsidel .|teabevarguses|NONE
Üleeile hilisõhtul istus Tai eri paigus netifoorumis kümmekond inimest , otsides vahetult pärast võimsat maavärinat paaniliselt teavet tsunamiohu kohta .|netifoorumis|NONE
Mehel , kes käib pidevalt ärikomandeeringutes , on ka enne olnud armuafääre , naine on neile läbi sõrmede vaadanud , kuid nüüd asi tõsisem .|ärikomandeeringutes|NONE
""" Võistkond on meil päris esinduslik , sest 11 maletajast , kelle reiting on kõrgem kui 2400 , istuvad laua taha kaheksa ."|maletajast|"NONE"""
Norra suusakoondise hooldetiimist lahkunud spetsialisti soovisid appi ka tippsuusatajast vend Markus , üks Kesk-Euroopa ja üks Põhjamaa võistkond .|hooldetiimist|NONE
Tänavatel liigub politsei koos laste turvalisuse tagamisele spetsialiseerunud sotsiaaltöötajaga ning lapsevanemat võidakse kohtulikult karistada , kui ta nende ettekirjutust ei järgi .|tagamisele|NONE
Hispaania poolel , kümnekilomeetrisel Melilla piirijoonel patrullis sel ööl vaid 42 piirivalvurit , Maroko piirkaitsjad käisid oma vahipostidel , kuidas juhtub .|vahipostidel|LOC
Tibbets lahkus õhuväest brigaadikindralina 1966. aastal .|õhuväest|NONE
Numbriteisaldusega on Bravocomist lahkunud 17 klienti|Bravocomist|NONE
Kui toetuse kättesaanud lastekollektiiv jookseb oma uuel koolistaadionil , ei tea lapsed ( ega sageli ka lapsevanemad ) , mis rahal nad jooksevad .|koolistaadionil|LOC
Käisin sissejuhatuseks oma hea sõbra , ärikoolitaja Marju Undi ärikursusel ja hakkasin tegelema moega .|ärikursusel|NONE
Lindilt ei olnud näha meest , küll aga paistis , et kasti kaas avanes ja rahad korjanduskastis liikusid .|korjanduskastis|LOC
Raidma on UNDAC-i liikmena seni käinud kahel missioonil - 2001. aastal Siberis Leena üleujutusel ja samal aastal Turkmeenias Afganistanile humanitaarabikoridori loomisel .|üleujutusel|LOC
Covic on juba kolmas presidentuuri liige , kes on saanud karistada või rahuvahelise surve tõttu ametis lahkunud alates rahujärelevalveorgani asutamisest pärast Daytoni lepinguga lõppenud 1992.-1995. aastani kestnud Bosnia sõda .|asutamisest|NONE
"""Head võimalused Touril sõita on Pütsepal , kes astus mullusel Vueltal sadulast kõigest neli etappi enne lõppu ."|Vueltal|"NONE"""
Erakonnas euroteemal jah-poolele astunud juhatuse liikmed olid aga valmis leppele alla kirjutama .|jah-poolele|NONE
Golberg jooksis eile ka Eesti 4x100 m teatemeeskonnas , kes oli finaalis Eesti rekordit kordava 39,69 -ga viies .|teatemeeskonnas|NONE
Rapla peatreeneripingile on hooaja jooksul istunud Jaak Salumets .|peatreeneripingile|LOC
Tema sõnul käivad Spacecomil ja Eesti Raudteel juba kolmveerand aastat vaidlused küll tariifide , küll lepingute ning veomahtude üle .|Spacecomil|NONE
05.03.2003 kella 15.30 ajal Sakala ja Kentmanni tänava ristikul astus vales kohas sõiduteele Lende ( s. 1932 ) , kes sai löögi sõiduautolt Mazda , mida juhtis Helen ( s. 1975 ) .|ristikul|LOC
“ Ta käis meil külas ja nägi rõõmuga , et mõisahoones käib elu , ” kõneles giid .|mõisahoones|LOC
Oma ringkäigul Valgamaale käis kultuuriminister Urmas Paet ka Taheva ja Valga lastekodudes .|ringkäigul|NONE
Käisin napsipoes ja uurisin kaua aega likööride riiulit .|napsipoes|LOC
Keemiapreemia sai Jaapani Kanazawa ülikooli teadlane Yukio Hirose , kes uuris , miks linnud ei istu ühele pronks-skulptuurile .|pronks-skulptuurile|LOC
Tuleb siiski märkida , et 60% Rootsi väliskaubandusest käib muudes valuutades kui euro ning rohkem kui pool rootslaste välisreisidest tehakse maadesse , mis ei kuulu eurotsooni .|valuutades|NONE
"""Meditsiinilise heategevusorganisatsiooni Merlin esindaja Geoff Prescott ütles Raadio Vaba Euroopale , et selliste relvade mõju vastu võitlemine käib ülejõu nii rahvusvahelistele abiorganisatsioonidele kui Iraagi tervishoiusüsteemile : "" Meditsiiniliselt on see äärmiselt keerukas kompleks , kus tuleb tegeleda bioloogilise , keemia- ja võib-olla ka tuumarelvaga ."|abiorganisatsioonidele|"NONE"""
Ma olen mitu korda käinud Maldiividel ja see on siiani minu jaoks kõige fantastilisem koht .|Maldiividel|LOC
"""16-aastane Helen tunnistab , et auhinna pälvinud kostüümi kandis ta juba aasta eest halloweeni tähistades , samuti on ta sellega käinud Potteri filmi linastustel ."|linastustel|"NONE"""
Töötu abiraha aeg on tema jaoks ammu möödas , nüüd käib ta sealt sotsiaal-ametisse oma töötuse kohta tõendit toomas .|sotsiaal-ametisse|LOC
Eriti meeldisid mulle rohked võõrsõ-nad , mida ma muidu ei salli , aga sellesse tragöödiasse istusid oivaliselt kui sild antiikaega .|tragöödiasse|NONE
Tegelikult võib näiteks inglise kirjanduses jälgida sel perioodil kirjanduskangelaste vaheldumist : kuni 1760. aastateni oli tähelepanu Ameerika indiaanlastel , J. Cooki merereisidega lisandusid polüneeslased ja aafriklased astusid kirjanduslavale suuresti 1770. aastatel seoses abolitsionismi levikuga .|kirjanduslavale|NONE
Erkile käis selline kiirus üle jõu .|Erkile|NONE
Edgar Lambi isa on laulumees , peres moodustub koguni kvartett , kes käib seltsipidudel laulmas .|seltsipidudel|NONE
Emerson istus oma peiduurkas ampullide ja süstlakuhja otsas ega võtnud tema kätt vastu .|peiduurkas|LOC
"""Tõnu Tamm ütles , et esimese hooga tuleb tal meelde 14 Leigol üles astuvat Järvit , mis on äärmiselt tähelepanuväärne , sest maailmas pole just palju suguvõsasid , kus nõnda paljud klassikalisse muusikasse süvenenud ."|Leigol|"LOC"""
24. mail Riias peetava Eurovisiooni lauluvõistluse uus režissöör on rootslane Sven Stojanovic , kes istus tänavu ka Rootsi eurolaulu valimise saadete lavastajapuldis .|lavastajapuldis|NONE
Valga Maret-Sport/Kalevi koosseisu kuulunud noorsportlastest koguni viis astusid autasustamisel pjedestaali kõige kõrgemale astmele .|autasustamisel|NONE
Renoveeritaval müüriosal käib täna lõppviimistlus .|müüriosal|LOC
Viimati käis Venemaa liidritest UKs riigiviisil tsaar Aleksandr II .|riigiviisil|NONE
Tüdruk istus kušetile ja me ajasime juttu .|kušetile|LOC
Kuid siis , kui ruumis jälle nägema hakkas , oli kõik kõige tavalisem;  lautomängija asemel oli laval seekord küll isa Isidor , kuid sellega võis ju põhimõtteliselt ka harjuda , nad istusid üksteise vastu litsutuna kõval puulaual ning hoidsid higistamist oodates õhus pidulikku vaikust , igaühel olid omad mõtted .|puulaual|LOC
Vaielda pole mõtet - ju ma siis astusin pimeduses liikudes mõnele taimele .|taimele|LOC
Sest mille muuga kui sulaselge ettevaatamatusega seda siis ikka seletada , et Roopalu Jaak lausa päise päeva ajal keset küla NKVD-meestele peaaegu sülle jooksis .|NKVD-meestele|NONE
Käisime Tshempionsoniga paisjärves granaatidega kala püüdmas .|paisjärves|LOC
Pärast käisin intris meie omasid vaatamas .|intris|LOC
Käisime Pavkaga Tretjakovkas .|Tretjakovkas|LOC
Käisime Moskva suurimates kaubamajades GUM-is ja TSUM-is , aga loomulikult me ei ostnud midagi , imetlesime arhitektuuri .|GUM-is|LOC
Istub muudkui taksojuhtide kotletibaaris VDNH metroojaama kõrval ning teeb , nagu lahendaks ristsõnu .|kotletibaaris|LOC
Kui last kodus polnud , istus karu kapinurgal , nööpsilmad ei pilkunud .|kapinurgal|LOC
Algas see muidugi kõige elementaarsemast , mitte selliselt , et seda teevad ka birds and bees , nagu ingliskeelses seksiõpetuses käivat .|seksiõpetuses|NONE
Nad istusid kõrvuti pingil oma maja ees nõlvaias , kust avanes kaunis vaade öisele kõrbele , mida valgustasid sajad ja sajad gaasitunglad .|nõlvaias|LOC
Tõusis ning astus , jalad harkis , ukse ette kaitseseisangusse .|kaitseseisangusse|NONE
Raigo , muuseas , käis seeaeg Susannale pinda , et võiks teise lapse ette võtta .|Susannale|NONE
Timo istus basseiniäärel , sulistas vees jalgu ja tegi näo , nagu oleks minu jutust huvitatud .|basseiniäärel|LOC
Inga istus üksinda Sofia Ivanovna euroopalikult kujundatud luksusköögis ega saanud lahti veidrast süütundest , et ajalugu ja saatus on Sigridile sündimisest peale liiga teinud ja nüüd on veel ka tema , Inga Velmer , saanud uue ajaloopöörde julmaks tööriistaks .|luksusköögis|LOC
Kuid selgemini hakkas see mu mõttes tinisema just nimelt Siberis ekspeditsioonil olles , täpsemalt ühel tähisel ja ebamaisel ööl , kui ma istusin koos Veronikaga meie männi all seal kaljusopkal ja ta laskis mind endale ligi . . .|kaljusopkal|LOC
""" Näiteks Egiptuses käisime püramiide vaatamas , Hiinas mungakloostris , Ecuadoris energiamäe juures ."|mungakloostris|"LOC"""
Nii tekitaski minu teade , et käisin Sankt Peterburgis psühholoogiakonverentsil , tuttavate hulgas suurt furoori , kui võrrelda minu hiljutise sõiduga Prantsusmaale , Aix-en-Provence'i .|psühholoogiakonverentsil|NONE
Sama apteegi farmatseut Laine Siiri lisas , et teinekord tulevad turistid sadamast busside kaupa apteeki ja nõnda käib päeva jooksul ravimipoes kuni 1000 klienti .|ravimipoes|LOC
Enno-Lembit Mikelsaar oli pärast Punaarmeest demobiliseerimist käinud ainult parteikoolis ning oli jõudnud lugeda marksismi klassikuid üksnes vene keeles ning sedagi napilt . .|parteikoolis|LOC
Adamsi rehabiliteeris lõplikult Rein Veidemann , kes käis tema suvekodus Valgemetsas ning laskis temast teha dokumentaalfilmi .|Valgemetsas|LOC
“Nüüd , seltsimees Sammjus , sina sammuma sellele rongile ja sõitma Tartust ära , ” lõpetas professor Matjorin eksami , lõi paberid laual kokku , kaapis need kaante vahele ja lahkus raskel suusatajasammul oma isiklikust kabinetist .|suusatajasammul|NONE”
