lemma;form;naitelause;margend
Isamaaliit;Isamaaliidust;Kindlasti ei lahku ma Isamaaliidust;loc_a
kaubaagent;kaubaagendist;Tartus liigub legende kaubaagendist;other
robotkoduabiline;robotkoduabilistest;Jutt ei käi robotkoduabilistest;other
hobuveski;Hobuveskist;autogrammikütt lahkus Hobuveskist kell õhtul;loc_c
palliklubi;Palliklubist;suvel lahkus Dorbeku Palliklubist noortegruppi korvpalliklubisse;loc_a
30.;30ndates;30ndates Lauri käinud;time
kokkupõrkepiirkond;kokkupõrkepiirkonnast;lahkus kokkupõrkepiirkonnast helikopteritel;loc_c
valimissõda;valimissõjas;jookseb valimissõjas;event
lollitamine;lollitamisest;jutt käib lollitamisest;other
liikuv;liikuvale;Töötades liiguvad inglased rohkem liikuvale;error
peatreeneripost;peatreeneripostile;kes astub peatreeneripostile;loc_a
Puhkus;Puhkusel;Puhkusel pole ma aastat käinud;event
hoovõtt;hoovõtul;aastal liikusin hoovõtul vanaema;time
testimiskeskus;testimiskeskuses;Urmo käis alguses Tšehhimaal testimiskeskuses proovimas;loc_c
testikatse;testikatsel;kord istub rooli testikatsel;event
tagantotsasõit;tagantotsasõidul;istmel liigub peatugi tagantotsasõidul ette- püüdes;event
memuaarid;memuaaridest;Käivad jutud memuaaridest;other
kaalujälgija;Kaalujälgijates;ema käis aeg Kaalujälgijates;event
bodypump;bodypump'is;Käib bodypump'is;event
kättemaks;kättemaksust;kättemaksust käib jutt olete;other
büstilõikus;büstilõikusel;= käis büstilõikusel;event
inglis-maa;Inglis-maal;Inglis-maal käib suuroperatsioon;loc_c
Gunnar;Gunnar's;Üles astusid Gunnar's;error
välitekk;välitekile;Jooksin paljajalu välitekile;loc_c
koaksiaalkaabel;Koaksiaalkaablis;Koaksiaalkaablis liigub telepilt kaablis valgusimpulsside näol;loc_c
modellikool;modellikoolis;Olen käinud ka modellikoolis;loc_a
kevadmüük;kevadmüügilt;Tütarlaps lahkus kevadmüügilt jätnud;event
kolhoosikord;kolhoosikorras;Harley-mehed käisid kolhoosikorras kusagil garaažis kastmas;other
sulgpall;sulgpalli-;aastatel käis neiu sulgpalli-;error
kvalifikatsioonisõit;Kvalifikatsioonisõitudes;Kvalifikatsioonisõitudes liikus suurepäraselt kanadalane;event
noorsooamet;noorsooametisse;Kell hommikul astusidki Stefan koos pisipojaga noorsooametisse;loc_c
giidikursus;giidikursustel;Käin giidikursustel;event
keskmäestikulaager;keskmäestikulaagris;Esmakordselt keskmäestikulaagris käinud;loc_c
meditsiinisüsteem;meditsiinisüsteemis;meditsiinisüsteemis info ei liigu;loc_a
mõõtkava;mõõtkavas;Mäng käib mõõtkavas;state
kasvukeskkond;kasvukeskkonnas;tegevus käis kasvukeskkonnas;loc_a
avameeter;Avameetritest;Avameetritest käis Lazutina vahel heitlus;time
maadlusklubi;maadlusklubil;poisid käisid külas maadlusklubil;loc_a
raudpolt;raudpoltidele;keha liigub tänu raudpoltidele;other
vana-aastaöö;vana-aastaööl;Nii käiski neiu vana-aastaööl otsimas;time
skandaal;skandaalile;on loo pärast lõunal käinud aastast saadik skandaalile;error
rabajooks;rabajooksul;õpilane käis pühapäeval rabajooksul;event
jmt;jmt;läheb katkestab astub õhtukooli ilma otsuseta jmt;error
peatool;peatoolil;peatoolil istus ta aastal;loc_a
matkaking;matkakingades;käid päevast päeva matkakingades;state
õudukas;õudukas;parajasti jookseb õudukas;error
ansambliliige;ansambliliikmetel;Lisaks käis ansambliliikmetel nagin;owner
keskpark;Keskparki;Pillimängijad liikusid piki avenüüd Keskparki;loc_c
kosmoselaev;kosmoselaevalt;inimesena astus juulil Kuule astronaut kosmoselaevalt;loc_c
remondiruum;remondiruumis;istuvad jõude remondiruumis masinate vahel tundi;loc_c
magama;magad;kõnni magad;error
aastavahetusepidu;aastavahetusepeol;ta korraks ansambliga väliseestlastele aastavahetusepeol esinemas käis;event
Vince;Vince'il;Jen istus Vince'il kaksiratsi süles;owner
pidutseja;pidutsejatelt;kes öösel peaga pidutsejatelt küsimas käis;owner
Hawaii;Hawaiil;Pole küll Hawaiil käinud;loc_c
aerutamine;aerutamises;spordialal aerutamises astuvad täna võistlustulle linna-;event
ilmsikstulek;ilmsikstulekul;ilmsikstulekul lahkus ametist põllumajandusminister;reason
tuumakatsetus;tuumakatsetustel;me tuumakatsetustel ei käinud;event
SS-diviis;SS-diviisi;Johannes astus noormehena korras 17aastaselt SS-diviisi;loc_a
joonistamine;joonistamisse;astun joonistamisse tule;error
juunioriklass;juunioriklassist;Loomulikult lahkub Trepp praegu juunioriklassist ujujana;loc_a
klaaspuur;klaaspuuris;eemal klaaspuuris käib etendus;loc_c
klassikamaraton;klassikamaratonidel;Seni käis Ollega klassikamaratonidel Koidu;event
maailmavõistlus;maailmavõistlusel;korda maailmavõistlusel käinud;event
väljaütlemine;väljaütlemistes;kes väljaütlemistes korda tõsiselt ämbrisse astus;dependent
loomejõud;loomejõus;Tegelikult lahkus ta teatrist ju loomejõus;state
vetsupott;vetsupotist;vetsupotist ei käi jutt;other
Maidan;Maidanil;Me pole seal Maidanil revolutsiooni ajal kordagi käinud;loc_c
metsaloom;metsaloomadele;selleks metsaloomadele appi tõttab;owner
raudteeülesõidukoht;raudteeülesõidukohas;raudteeülesõidukohas jooksis rong rööbastelt maha;loc_c
taluköök;taluköögis;istuvad koos lähedastega taluköögis;loc_c
sõrmeoperatsioon;sõrmeoperatsioonil;Pack käis sõrmeoperatsioonil;event
põrgutuli;põrgutulele;tõttasid hoopiski vilistades põrgutulele;error
ahjutulevalge;ahjutulevalgel;sina istud seal ahjutulevalgel;state
Koronio;Koronios;Panathinaikose vastu jookseb platsile Koronios;error
Uuno;Uunos;Uunos jookseb ta laupäeviti juba alates novembrist on;loc_a
näiteklass;näiteklassis;kes juba käis näiteklassis;loc_a
rannajalgpall;rannajalgpallis;Siin käivad meistrivõistlused rannajalgpallis;dependent
rattasport;rattaspordist;rattaspordist lahkunud;loc_a
Joker;Jokeritesse;hooaja vahel Maardu Jokeritesse liikunud;loc_a
Jordani;Jordanist;sõitja lahkub Jordanist;loc_c
rahamaja;rahamajas;Marss liigub märgi rahamajas;loc_a
jõesäng;Jõesängis;Jõesängis jooksis jõevesi;loc_c
pisike;pisikesest;Olen pisikesest peale arstide juures käinud;other
sööma-joom;sööma-jooma;osavõtjad istusid sööma-jooma heietama;error
jõukurei;jõukureile;soetamine käiks ilmselt üle jõu jõukureile;error
komplekteerimine;komplekteerimisel;Paralleelselt mänguks käib BC leeris veel komplekteerimisel;dependent
õhuseirekeskus;õhuseirekeskuses;Jänkid käivad õhuseirekeskuses;loc_c
Šaruna;Šarunas;palluritest käisid tõmbamas Šarunas;error
kirurgiakeskus;kirurgiakeskuses;leedi käis eile koos abikaasa kirurgiakeskuses;loc_c
DV;DV-st;valmistatud lahkus Heinz alias DV-st lõpus Friedrichstrasse vaksali kaudu;loc_c
Orlando;Orlandost;Lahkus ju O aastat tagasi Orlandost Los vaatamata pakkumisele;loc_a
loomatohter;loomatohtril;loomatohtril käib abiks meest;owner
kunstfotoateljee;kunstfotoateljeedes;kunstfotoateljeedes ei käi enam keegi;loc_c
nimekam;nimekamatest;Klubist on nimekamatest lahkunud veteran;other
maim;Maimu;perenaine Maimu õhtul Raplamaal külas laudast lahkus;error
jõujuurikas;jõujuurikas;olümpial jooksis sugulane jõujuurikas ga;error
allfilm;Allfilmis;Raivo käis Allfilmis täitmas;loc_a
välisministeeriumihoone;välisministeeriumihoones;reporter käis välisministeeriumihoones uudistamas;loc_c
pidudel-vastuvõtt;pidudel-vastuvõttudel;pidudel-vastuvõttudel paarike on kuul käinud;event
ajabilanss;ajabilansile;teised käivad vastavalt ajabilansile talle toeks;other
löögirusikas;löögirusikas;Seni liigub löögirusikas kursil;error
pesupäev;pesupäevadel;lapsed tal pesupäevadel seltsiks käisid;event
hansa;Hansas;õhtul käisime Olde Hansas;loc_c
riigipolikliinik;riigipolikliinikuis;nii see ajal riigipolikliinikuis käis;loc_a
spordiüritus;spordiüritustel;Albert käib spordiüritustel;event
kehaosa;kehaosast;kehaosast jutt käib;other
motoringrada;motoringrajal;käib motoringrajal mehhaanikuks;loc_c
sõnavahetus;sõnavahetusse;Nigol sõnavahetusse astusid;loc_a
Harkivi;Harkivist;Täna lahkume Harkivist;loc_c
mustlaslaps;mustlaslapsest;Kesk-Eesti mustlaslapsest käib koolis seitse;other
Fårö;Fårös;Filmilegend lahkus meie hulgast eile kodus Fårös vanuselt;loc_c
kultussari;kultussarjast;soulikuulsus lahkub kultussarjast haavus;loc_a
ooperimaailm;ooperimaailma;inimene astus ooperimaailma korda;loc_a
RS4;RS4ga;Röövel lahkus kuriteokohalt Rosset ’ i RS4ga;error
lossiruum;lossiruumis;lossiruumis Keldris käis aga töö;loc_c
barakkõllekas;barakkõllekates;käinud barakkõllekates;loc_c
Põldroos;Põldroosil;fänn käis Põldroosil koduukse taga skandaalitsemas;owner
Bremen;Bremenist;novembris lahkus Bremenist pardal USA-sse tõesti ohvitser;loc_c
geiprideiparaad;geiprideiparaadil;Sellest Sokrates käis Rootsimaal geiprideiparaadil svenssonitele tegemas;event
naisegrimm;naisegrimmis;Kuskil istuvad nägudega naisegrimmis mehed;state
A-rühm;A-rühmas;A-rühmas on hooaja keskel kuute istunud;loc_a
teivasjaam;teivasjaamas;need lahkuvad rongist teivasjaamas;loc_c
sirin;sirinal;Siis jooksid ihumahlad sirinal tuletõrjuja;manner
torus-tikk;torus-tikust;Vesi jookseb masinasse automaatselt torus-tikust;loc_c
põrandalseisev;põrandalseisvatest;jutt käib siis põrandalseisvatest;other
PMPO;PMPO-st;satelliidid Jutt ei käi PMPO-st;other
suusahoolderuum;suusahoolderuumis;suusahoolderuumis lii-guvad näod saabub;loc_c
lasteiste;lasteistmel;Istus lasteistmel tagapingil;loc_c
infolaat;infolaadal;õpilane käis infolaadal aastal;event
mõnes-mõte;mõnes-mõttes;mõnes-mõttes käib kah;manner
px;px;siis hiir liigub kogemata px vasakule;error
ajupoolkera;ajupoolkeras;asjade-välja-selgitamis mõtlemine käib seal ajupoolkeras;loc_c
TIK;TIK'is;sa käid TIK'is;loc_a
esikolmikukoht;esikolmikukohtadel;esikolmikukohtadel liikunud;state
maalikunst;maalikunstis;siis maalikunstis see PR-trikiga ei käi;loc_a
marmorsaal;marmorsaalis;Rufus istus mugavalt marmorsaalis troonil juhtida;loc_c
Valgus;Valgusest;Valgusest kiiremini ei liigu miski;other
hiiekoht;hiiekohtades;ysna hiiekohtades käivad rahvas siiamaani;loc_c
hullar;hullaris;Mees istus päevad hullaris ära;loc_c
topicus;topicusse;saade siia topicusse imehästi istub;dependent
komisariaadima;komisariaadis;käisin täna siis komisariaadis;loc_a
kõhklus;kõhklustele;Vaatamata kõhklustele võimeline käis koostamine;other
haiglatöö;haiglatöölt;sõnul lahkuvad õed haiglatöölt suunduda;loc_a
ülehelikiirus;ülehelikiirusel;autot teadupärast ülehelikiirusel ei liigu;manner
vormelipiloot;vormelipiloodil;vormelipiloodil asi kähku käib;owner
kivihunnik;kivihunnikus;Istusime kivihunnikus tundi;loc_c
kiltmaa;kiltmaal;Ta kõndis meeleldi tundide viisi kiltmaal;loc_c
taluturg;Taluturul;aeg tagasi käis omanik Taluturul kaupleb;loc_c
läänlane;läänlasest;läänlasest käis kutse õppel;other
meestekas;meestekas;mehed istuvad ajal meestekas;loc_c
esilaulja;esilauljal;President käib vahepeal esilauljal surumas;owner
Capr;Capril;Capril käinud;loc_c
msni;msnis;nüüd istuvad kõik rõõmsalt msnis;loc_a
vigane;vigaselt;sugulase juures Netscapes jooksis foorum vigaselt;manner
sadist;sadistil;sadistil jooksevad numbrid kiiremini;owner
manager;manageris;programmid sul task manageris jooksevad;loc_a
6V;6V;Athlon64 jookseb 1 6V;error
Tänavusuvine;Tänavusuvisel;Tänavusuvisel moenädalal käisid gigandid sammu;time
kaubalennuk;kaubalennukitel;liikus Hollandisse kaubalennukitel;loc_c
sügistuur;sügistuurist;Jutud käivad sügistuurist Ameerikas Lauryn;other
varjusurm;varjusurmas;Kanal on areenilt lahkunud varjusurmas;state
35mm;35mm;Töö käib 35mm;error
vc;vc's;vc's käis pinda see;error
deiv;deivi;meil käib see kordamööda deivi;error
Bangalore;Bangalore'is;kes on ka ise Bangalore'is käinud;loc_c
5;5-st;Muidugi lahkuvad 5-st ka vaidlejad;loc_a
lõpusõrmus;lõpusõrmustest;Jutt käib siis lõpusõrmustest;other
automaatika;automaatikast;jutt käib ikka automaatikast;other
10;10-nes;ise ka jooksen 10-nes;error
teisipeäva;teisipeäval;teisipeäval käin;error
sõreste;sõrestes;Noniii eile sõrestes käisid;loc_c
meelelahutusmaailm;meelelahutusmaailmas;meelelahutusmaailmas liigub raha seal;loc_a
kiirabihaigla;kiirabihaiglasse;Arst liikus koos osakonnaga Keskhaiglast kiirabihaiglasse;loc_c
nurgapalse;nurgapalses;käin nurgapalses;error
statoili;statoilis;käige statoilis sixbacki järel enam;loc_c
vanaduspension;vanaduspensionist;jutt käib vanaduspensionist;other
välipark;välipargis;Ma käisin välipargis;loc_c
kummipall;kummipallist;jutt käib kummipallist;other
aianduskauplus;aianduskaupluses;käib aianduskaupluses;loc_c
otsejoon;otsejoonele;siis astus ta korvi all otsejoonele;loc_c
rahatrepp;rahatrepil;sünniga liigub pere rahatrepil allapoole;loc_a
10Mb;10Mb;seda panna siis andmed jooksevad ikka 10Mb;error
sry;sry;sry megadest siiski jutt käib;error
firewalli;firewallist;jutt käiks firewallist;other
maardla;maardlatesse;võetud liigub kaevandamine maardlatesse;loc_c
muskelauto;muskelautodest;jutt käib muskelautodest;other
Hedvig;Hedvigil;Üldse käib Hedvigil töö;owner
krrr;krrr;Siis käis juba krrr;error
varn;Varnas;Käisin suvel Varnas;loc_c
kutsekates;kutsekatesse;kutsekatesse käivad ikka kodust lähe;loc_a
misjonijaam;misjonijaamast;andmeil lahkus Rael koos kolleegiga misjonijaamast jaanuaril;loc_c
palvela;palvelas;Riigisekretär käis pärastlõunal koos saatjatega vallas külas palvelas;loc_c
asuküla;Asukülas;käis põldudel Asukülas;loc_c
suusahüppaja;suusahüppajatest;jutt käib suusahüppajatest;other
keskkonnakomisjon;keskkonnakomisjonis;taanlast käisid keskkonnakomisjonis;loc_c
siber;siberis;käisin siberis tööl;loc_c
tripp;tripil;veel käisin klassiga tripil;event
neonats;neonatsidest;neonatsidest küll mitte töö käib;other
ksa;ksa-s;Käisin ksa-s;loc_c
rattamaraton;rattamaratonil;Käisin eile rattamaratonil;event
peapea;peapeal;käin mcdonaldsi taga peapeal;manner
Mustjala;Mustjalas;Mustjalas käib perekonnavalss;loc_c
kaugküttesüsteem;kaugküttesüsteemist;kaugküttesüsteemist lahkus maja;loc_a
välissuhe;välissuhetesse;Nüüd aga astub riik välissuhetesse;loc_a
karjuja;karjujatest;palju karjujatest ise valimas käis;other
konkurentsipoliitika;konkurentsipoliitikas;me konkurentsipoliitikas suunas liigume;loc_a
lade;lademes;busse käis juba enne lademes;manner
õiguskomisjon;õiguskomisjonis;Käisin praegu õiguskomisjonis lootuses;loc_c
sierra;sierral;Minuteada istuvad nad põiki vahel aga sierral pikimootor;loc_c
Melasi;Melasis;Käisin täna Melasis;loc_c
tagadiffr;tagadiffrisse;õli käib tagadiffrisse;loc_c
plaadiriiul;plaadiriiulil;ehk kunagi istub plaadiriiulil enne;loc_c
cruisim;cruisimas;vennaga käisime linnapial maz'iga cruisimas;error
nuppu;nuppul;nii back nuppul klõps käis;owner
hoor;hoora;mäng käib ümber selle hoora;error
Kurgja;Kurgjal;käin ka Kurgjal;loc_c
as;as;käisin sööömas ale as;error
pyg;pyg;ta käib pyg;error
jooxma;jooxmas;käisin jooxmas;error
kukkeseene;kukkeseenele;käi honoluluga kukkeseenele;event
ptslhm;ptslhm;käi ptslhm;error
mmi;mmis;mmis pidu käib kah;error
jalkpa;jalkpal;jalkpal käib;error
pedeleht;pedelehtedel;käid pedelehtedel;loc_a
võistlustte;võistlusttel;võistlusttel käisin känza;event
viiene;viiesel;Silent_Trigger jah ma käisin viiesel;error
ztv;ztv;lugu käib ztv;error
7esi;7ees;7ees käite;error
knght;knght;irw knght astu tehtud;error
okas;okkas;selle pärast okkas vahet käibki;error
piibe;piibes;ma pole piibes käinud;loc_c
hüppetornioca;hüppetorniocas;istub hüppetorniocas;state
ttg;ttg-s;ttg-s käin;loc_a
närvie;närviele;närviele käib ju;loc_a
aegviidu;aegviidus;ma käisin aegviidus 1kord;loc_c
ssee;ssees;sa käisid ikka ssees;loc_a
terariumi;terariumis;äksion käis terariumis;loc_c
bättel;bättelil;hvakk ma käisin eile bättelil;event
sja;sjal;istuvad sjal teleka taga;error
rannakas;rannakas;ciel käisid eile rannakas vä;loc_c
makoiha;makoihal;makoihal käin;error
diskett;disketilt;jookseb disketilt;loc_c
OnaFest;OnaFestil;käisin OnaFestil;event
süntesaator;süntesaatorist;jutt käib süntesaatorist;other
hormooniravi;hormooniravil;hormooniravil käinud;loc_a
nnnn;nnnn;kas kõik käis kõigi kohta vee nnnn;error
amigo;amigos;rahvas amigos käib maimu;loc_c
Vetsitall;Vetsitallist;käib kord Vetsitallist;loc_c
kook;kooku;pommiauk käib kooku freek;state
kalevispordihall;kalevispordihallis;raffast on kes käisid see kalevispordihallis;loc_c
päinaka;päinakas;slow sa käid päinakas;error
aurama;auras;ma käis täna auras;loc_c
il;il;keegi RAHZEL il ka käis;error
lasteaija;lasteaijas;ma käin lasteaijas;loc_a
