lemma|sentence_id|head_id|example_num|total_count|feats|case|number|proper|deprel|form|loc|loc_rel|parent_loc|pos|id_x|text|gpt_annotation
karistusseadustik|5721745|9176598|2|42|com,in,pl|in|pl|0|obl|karistusseadustikes|7|1||S|17167204|Riigid on seda mõistet defineerinud oma karistusseadustikes , terrorismi definitsioon sisaldub enam kui kümnes rahvusvahelises konventsioonis , samuti on julgeolekueksperdid , õpetlased , lihtsalt targad inimesed ja nende mõttekojad pakkunud välja omi definitsioone .|NONE
karistusseadustik|6282458|10093239|3|42|all,com,sg|all|sg|0|obl|karistusseadustikule|17|-1||S|18872975|Kohus määras Rootsile liitkaristuseks üheks aastat vangistust , kuid kuna tegemist oli lühimenetlusega , siis vastavalt karistusseadustikule lühendas kohus Rootsi karistust ühe kolmandiku võrra .|NONE
karistusseadustik|18588745|28130467|4|42|com,in,sg|in|sg|0|obl|karistusseadustikus|10|1||S|51084534|Nüüd on tehtud otsus , et osa hakkab olema karistusseadustikus ja osa eriseadustikus , või vähemalt nii on Riigikogu seni hääletamiste kaudu oma tahet väljendanud .|NONE
karistusseadustik|11933314|19095913|5|42|com,in,sg|in|sg|0|obl|karistusseadustikus|18|1||S|35255899|Riigikohus kergendas prokuratuuri taotlusel 58 süüdimõistetu vanglakaristusi , sest neile kriminaalkoodeksi järgi määratud reaalsed vangistused ületasid praeguses karistusseadustikus samade kuritegude eest ette nähtud karistuste ülemmäära .|NONE
telefoniputka|10080815|16171560|1|42|com,in,sg|in|sg|0|obl|telefoniputkas|26|1||S|29865770|Eile kella 10 ajal murdis nüüd juba seesama Natalja kilekaantetäit ankeete , fotosid ja passikoopiaid vastu rinda surudes kodakondsusbüroos tunglevast rahvamassist välja tänavale , valis telefoniputkas numbri ja ütles vaid mõned sõnad : “ Varsti on meie järjekord . ”|LOC
telefoniputka|6450670|10371756|2|42|com,el,pl|el|pl|0|obl|Telefoniputkadest|1|-1||S|19386637|Telefoniputkadest kadus toona palju materjali .|LOC
telefoniputka|16801336|25856224|3|42|com,ill,sg|ill|sg|0|obl|telefoniputkasse|6|1||S|47418559|Kujutage ette , et lähete telefoniputkasse helistama .|LOC
telefoniputka|3399050|5470777|4|42|com,in,sg|in|sg|0|obl|telefoniputkas|6|1||S|10238119|Plahvatus toimus maja juures asuvas telefoniputkas .|LOC
telefoniputka|4564264|7336421|5|42|com,el,sg|el|sg|0|obl|telefoniputkast|6|2||S|13688237|Kõige raskem kõne tuli Kaljule telefoniputkast .|LOC
olümpiahooaeg|4957803|7960062|1|43|ad,com,pl|ad|pl|0|obl|olümpiahooaegadel|7|-1||S|14863657|""" Euroopa meistrivõistlustel esinesin hästi , olümpiahooaegadel vaevasid mind haigused , "" sõnab Stukalov ."|NONE
olümpiahooaeg|7794263|12495634|2|43|ad,com,sg|ad|sg|0|obl|Olümpiahooajal|1|-1||S|23217669|Olümpiahooajal 1991/92 võitis Fabrice Guy viiest talimängude-eelsest MK-etapist neli ja ka aasta tähtsaimal jõuproovil oli tema esikoht eeskätt vaid vormistamise küsimus .|NONE
olümpiahooaeg|12466303|19956355|3|43|all,com,sg|all|sg|0|obl|olümpiahooajale|5|1||S|36865444|Eesti sõudjad on alustanud olümpiahooajale põhja ladumist .|NONE
olümpiahooaeg|1439672|2290751|4|43|ad,com,sg|ad|sg|0|obl|olümpiahooajal|2|-1||S|4256610|Lõppenud olümpiahooajal küündis Kaseorg taas 8000 punktini , kogudes 8024 punkti Euroopa karikavõistlustel Ibachis , olles seal Eesti meeskonna liidriks .|NONE
olümpiahooaeg|4066359|6545546|5|43|ad,com,sg|ad|sg|0|obl|olümpiahooajal|4|1||S|12222996|""" Igaüks annab olümpiahooajal maksimumi , välja minnakse riskile , "" sõnas Rand ."|NONE
Bologna|5602562|8982690|1|44|in,prop,sg|in|sg|1|obl|Bolognas|2|-4||S|16801966|Näiteks Bolognas , kust on pärit kuulus raguukaste  salsa bolognese  ja tillukesed , veidi pelmeene meenutavad tortellinid , on niisuguseid poekesi aina vähemaks jäänud .|LOC
Bologna|14479123|22897580|2|44|in,prop,sg|in|sg|1|obl|Bolognas|11|3||S|42348864|Just Subaru WRC-auto roolis osaleb Märtin 15.-16. detsembril Bolognas kohaliku legendi Attilo Bettega mälestusvõistlustel rallisprindis .|LOC
Bologna|2320445|3715803|3|44|ill,prop,sg|ill|sg|1|obl|Bolognasse|22|-1||S|6957415|Ometi arvavad Bologna arstid , et on lausa ime , et ägeda maksakahjustusega noor naine saatuse tahtel Eestist just siia , Bolognasse sattus , kus tema elu päästmiseks olid kõik ettevalmistused tehtud .|LOC
Bologna|3383468|5444927|4|44|in,prop,sg|in|sg|1|obl|Bolognas|18|4||S|10191070|"Salo lastelaulufestivali võitudele lisaks sai Liisi Koikson ülemaailmsel laste lauluvõistlusel "" Zecchino D'Doro "" Itaalias Bolognas 1994. a parima välisartisti peapreemia ."|LOC
Bologna|11612161|18590897|5|44|ill,prop,sg|ill|sg|1|obl|Bolognasse|13|1||S|34302503|Eelmisel nädalal esitasime hea partii Rooma Lazio vastu , kuid nüüd tuleme Bolognasse ja jääme alla igas mänguelemendis .|LOC
üleviimine|1448982|2306281|1|44|com,el,sg|el|sg|0|obl|üleviimisest|9|1||S|4286973|Tartu linnavolikogu esimehe Peeter Tulviste hinnangul tõuseb ministeeriumi üleviimisest Tartule kindlasti kasu .|NONE
üleviimine|5858127|9400976|2|44|ad,com,sg|ad|sg|0|obl|üleviimisel|12|1||S|17584679|Oma mõju eurooplaste pessimismile on kindlasti meedias palju tähelepanu saanud töökohtade üleviimisel madalama tööjõukuluga riikidesse .|NONE
üleviimine|4126291|6641798|3|44|com,el,sg|el|sg|0|obl|üleviimisest|8|2||S|12402483|Tallink teatas augusti lõpul reisilaeva Regina Baltica üleviimisest Läti registrisse .|NONE
üleviimine|19056296|28755244|4|44|all,com,sg|all|sg|0|obl|üleviimisele|17|1||S|52054271|Mõni aasta tagasi ratifitseeriti siinsamas parlamendisaalis energeetikalaen , mis väga paljudel juhtudel taandus katlamajade ja küttesüsteemide üleviimisele kohalikule kütusele .|NONE
üleviimine|5431359|8708157|5|44|ad,com,sg|ad|sg|0|obl|üleviimisel|3|-1||S|16283624|ETK jaekaubandusettevõtete üleviimisel ketijuhtimisele omandab hästitoimiv logistikasüsteem senisest palju suurema tähtsuse .|NONE
Mexico|3815911|6146462|1|46|in,prop,sg|in|sg|1|obl|Mexicos|15|2||S|11485288|Kõik meie spordisõbrad teavad , et kergejõustiku ajaloo üks võimsamaid võistlusi toimus 1968. aastal Mexicos , kus Robert Beamon hüppas 8.90 , parandades maailmarekordit kaugushüppes korraga 55 sentimeetrit .|LOC
Mexico|10163869|16307482|2|46|in,prop,sg|in|sg|1|obl|Mexicos|3|-1||S|30117549|Suvel 1983 Mexicos surnud Buñueli hoiakut kiriku suhtes illustreerib suurepäraselt tema tuntud ütlus : “ Tänan jumalat , et olen ikka veel ateist . ”|LOC
Mexico|9344376|15008738|3|46|in,prop,sg|in|sg|1|obl|Mexicos|4|2||S|27778732|Maailmarekordit parandas tookord Mexicos veel kolmikhüppaja  Adhemar Ferreira da Silva  ( 16.56 ) , napilt jäi sellest vajaka USA sprinteritel 100 ja 200 meetris .|LOC
Mexico|4231297|6809739|4|46|in,prop,sg|in|sg|1|obl|Mexicos|7|4||S|12713029|Roomas läks mul uustulnukana normaalselt , Mexicos kehvasti .|LOC
Mexico|1429333|2274083|5|46|in,prop,sg|in|sg|1|obl|Mexicos|5|2||S|4225276|Üks ameeriklane ütles mulle Mexicos , et see maksvat alates 300 dollarist .|LOC
Williams|8372334|13416132|1|46|ad,prop,sg|ad|sg|1|obl|Williamsil|7|1||S|24878807|Kiirelt tulnud edu ja kiitused lõid Williamsil lained pea kohal kokku , tema järgmised filmiprojektid olid üksteisest küll kardinaalselt erinevad , kuid paraku ka kõikuva esitustasemega : “ The Survivors ” , “ Moscow on the Hudson ” , “ The Best of TimesClub Paradise ” ja “ Size the Day ” .|NONE
Williams|1022671|1627132|2|46|el,prop,sg|el|sg|1|obl|Williamsist|16|2||S|2992828|Kuid Inglismaa ajalehe The Suni hinnangul teenib maailma 10. reket , venelanna Anna Kurnikova ikkagi Williamsist rohkem .|NONE
Williams|6248304|10036407|3|46|ad,prop,sg|ad|sg|1|obl|Williamsil|2|-1||S|18768715|Vanemal Williamsil kulus 2 tundi ja 45 minutit , et võita maailma esireketit 4 : 6 , 7 : 6 , 9 : 7.|NONE
Williams|14793792|23268407|4|46|in,prop,sg|in|sg|1|obl|Williamsis|6|-1||S|42994139|""" Vajan värsket väljakutset , Williamsis kujutasin endast juba seisvat vett , "" rääkis ta ületuleku põhjusist ."|LOC
Williams|13776842|21965430|5|46|in,prop,sg|in|sg|1|obl|Williamsis|4|1||S|40637543|Keevaline lõunaameeriklane peab Williamsis Ralfiga sõnasõdu ning läheks ilmselt Michaelile kätega kallale .|LOC
Siiri|1467605|2335685|1|47|ad,prop,sg|ad|sg|1|obl|Siiril|7|-1||S|4343520|Nimelt kaks aastat tagasi , kui Siiril tuli idee korraldada 30. augusti südaööl Lahemaal Esku kabelis Saxappeal Bandi kontsert .|NONE
Siiri|7661818|12284913|2|47|abl,prop,sg|abl|sg|1|obl|Siirilt|29|1||S|22841307|“ Aga vat , kui ma oleks praegu ürituse korraldaja , hangiks su telefoninumbri , kutsuks esinema , siis millal üldse oleks esimene vaba võimalus ? ” küsin Siirilt|NONE
Siiri|7661791|12284859|3|47|ad,prop,sg|ad|sg|1|obl|Siiril|3|1||S|22841223|Sinna on Siiril vaja muusikat veel natuke juurde teha .|NONE
Siiri|11263974|18051669|4|47|ad,prop,sg|ad|sg|1|obl|Siiril|3|-2||S|33290232|See pole Siiril sugugi seganud tegelemast asjadega , mis talle kõige enam meeldivad ja südamelähedased on laule kirjutada ja muusikat teha .|NONE
Siiri|4681884|7522666|5|47|ill,prop,sg|ill|sg|1|obl|Siirisse|5|2||S|14039642|Kui varem suhtus avalikkus Siirisse kui andunud jüngrisse , kes teeb nagu kästud ja ise ei mõtle , siis praegu toetatakse teda , saadetakse tunnustuskirju , julgustatakse endale kindlaks jääma .|NONE
Varasem|9069935|14583584|1|47|el,prop,sg|el|sg|1|obl|Varasemast|1|-1||S|27011047|Varasemast tean , et lendurid saavad eri toitu .|NONE
Varasem|1709544|2721123|2|47|el,prop,sg|el|sg|1|obl|Varasemast|1|-2||S|5076924|"Varasemast tuttavat Kaske eksponeerivad "" Pruun "" ja "" Lilla "" ning "" Minimaal "" 1- 4."|NONE
Varasem|7256288|11668761|3|47|el,prop,sg|el|sg|1|obl|Varasemast|1|-1||S|21749839|Varasemast sõidavad Nabi bussid muuhulgas ka Los Angeleses , Clevelandis ja Chicagos .|NONE
Varasem|11002105|17620919|4|47|el,prop,sg|el|sg|1|obl|Varasemast|2|-3||S|32499509|« Varasemast nii ei mäleta , aga eelmisel aastal räsis ebaõnn vaimu küll , » sõnas Turi .|NONE
Varasem|7681969|12317855|5|47|ill,prop,sg|ill|sg|1|obl|Varasemasse|1|-1||S|22899569|Varasemasse jäävad teatrile omaste vahenditega fikseeritud telelavastused .|NONE
MTÜ|2649469|4251264|1|48|el,nominal,sg|el|sg|0|obl|MTÜ-st|17|2||Y|7963360|Kuigi rattasõitmisest tekkiva müra tugevust ei ole piirkonnas kunagi mõõdetud , usub rada haldav Toomas Kiiler MTÜ-st Keila Moto , et see ei ületa seadusega lubatud mürataset .|NONE
MTÜ|6600353|10620895|2|48|in,nominal,sg|in|sg|0|obl|MTÜ-s|7|1||Y|19846544|Sotsiaalse ettevõtja konkursil osalenud noormehed tegutsevad MTÜ-s Hingest .|NONE
MTÜ|7433326|11935094|3|48|all,nominal,sg|all|sg|0|obl|MTÜ-le|23|2||Y|22221373|Kogu olümpiakeskuse kavandatav territoo rium on 85 ha , millest kolm lahusmaatükki kokku 14 hektaril ( oranzh ala joonisel ) kuuluvad praegu MTÜ-le Tehvandi Tervisekeskus .|NONE
MTÜ|14513997|22952372|4|48|el,nominal,sg|el|sg|0|obl|MTÜst|11|1||Y|42448618|Plaani kohaselt astuvad nood MTÜ liikmeks ning pärast seda lahkuvad MTÜst mõlemad riigiasutused .|NONE
MTÜ|14502393|22933798|5|48|ill,nominal,sg|ill|sg|0|obl|MTÜsse|6|-1||Y|42415117|Pole õige öelda , et MTÜsse koonduvad need , kel ei ole äriühingu loomiseks nutti .|NONE
Häädemeeste|7267778|11685407|1|49|ad,prop,sg|ad|sg|1|obl|Häädemeestel|10|2||S|21778957|Suure pere noorim võsu Linda Oks sündis 1957. aastal Häädemeestel , kasvas üles kuuelapselises peres noorimana .|LOC
Häädemeeste|13295699|21270856|2|49|ad,prop,sg|ad|sg|1|obl|Häädemeestel|6|2||S|39348056|Kuna kunstnik Polt peab sõbraga Häädemeestel turismitalu , siis on meestel plaanis seksikad taiesed Pärnu Uue Kunsti Muuseumist oma talu kaunistama tuua .|LOC
Häädemeeste|8213785|13181822|3|49|ad,prop,sg|ad|sg|1|obl|Häädemeestel|3|1||S|24466244|Homme toimuvad Häädemeestel Pärnumaal kehalise kasvatuse õpetajate tänavused koostööpäevad .|LOC
Häädemeeste|7176174|11543307|4|49|abl,prop,sg|abl|sg|1|obl|Häädemeestelt|24|-2||S|21521144|""" Meile helistati kell viis hommikul , et tulge ema päästma , "" jutustas Valentina tütar Riina , kes hommikul koos abikaasaga Pärnumaalt Häädemeestelt teele asus ."|LOC
Häädemeeste|17523737|26865070|5|49|abl,prop,sg|abl|sg|1|obl|Häädemeestelt|8|2||S|49107546|Näiteks , kui ma sõidan pühapäeva õhtul Häädemeestelt Tallinna ja juhtub õnnetus , kas see on õnnetus teel tööle ?|LOC
anatoomikum|10725113|17185711|1|49|ad,com,sg|ad|sg|0|obl|anatoomikumil|14|-2||S|31718731|Tartu ülikooli arstitudengid hakkavad esmaspäevast inimkeha ehitust tundma õppima vaid teoorias , kuna anatoomikumil ei jätku praktikumide korraldamiseks surnukehi .|LOC
anatoomikum|10346885|16601860|2|49|com,el,sg|el|sg|0|obl|anatoomikumist|3|-1||S|30659381|Hannes Tamm anatoomikumist ütles , et ühtki oma keha müümise juhtu pole teada ei nõukogude ega ka uue vabariigi ajast .|LOC
anatoomikum|9555224|15337638|3|49|com,in,sg|in|sg|0|obl|anatoomikumis|16|2||S|28363720|1842-1850 oli Faehlmann ülikooli eesti keele lektor ning luges 1843-1845 vanas anatoomikumis farmakoloogia- ja retseptuurikursust .|LOC
anatoomikum|17977901|27356285|4|49|abl,com,sg|abl|sg|0|obl|anatoomikumilt|17|1||S|49883800|Nad on nagu tüübid , kes on otsustanud oma tulevase laiba ette maha ärida , saaks anatoomikumilt selle eest mani kähku kätte , jõuaks selle klaarilt laiaks tõmmata ja pärast tulgu tulekahju või veeuputus .|LOC
anatoomikum|2914258|4671883|5|49|com,el,sg|el|sg|0|obl|anatoomikumist|10|2||S|8765752|-Pärast Biomeedikumi valmimist 1999 kolisid arstiteaduskonna üksused vanast anatoomikumist ära .|LOC
kiire|19705144|29245146|1|49|el,pos,sg|el|sg|0|obl|kiirest|7|1||A|52776932|SCript: küll su suguvõsa paljuneb kiirest|NONE
kiire|16635674|25609333|2|49|el,pos,sg|el|sg|0|obl|kiirest|5|2||A|46995330|Bridgestoneid ei soene piisavalt kiirest .|NONE
kiire|2805037|4498207|3|49|el,pos,sg|el|sg|0|obl|kiirest|4|1||A|8433937|""" Mul on kiirest raha tarvis ! """|NONE
kiire|16310901|25255611|4|49|el,pos,sg|el|sg|0|obl|kiirest|4|-5||A|46395680|noh aga kui kiirest ta siis selle koduka valmis saab ma juba täna päeval lisasin aga õhtux ple ikka veel .|NONE
kiire|496201|780209|5|49|el,pos,sg|el|sg|0|obl|kiirest|7|2||A|1368152|Ka liikusid nanoobid eemale skaneeriva elektronmikroskoobi kiirest ning osutusid sisaldavat DNA-d .|LOC
kombinesoon|5427735|8702702|1|49|ad,com,sg|ad|sg|0|obl|kombinesoonil|8|-1||S|16273343|Nimelt leiab Rahvusvaheline Suusaliit FIS , et kombinesoonil paiknevad suured tähed BJ on reklaam , mitte kujunduselement .|LOC
kombinesoon|11768453|18833866|2|49|ad,com,sg|ad|sg|0|obl|kombinesoonil|8|-1||S|34760453|Nimelt leiab Rahvusvaheline Suusaliit FIS , et kombinesoonil paiknevad suured tähed BJ on reklaam , mitte kujunduselement .|LOC
kombinesoon|13495333|21584475|3|49|all,com,pl|all|pl|0|obl|kombinesoonidele|15|1||S|39938033|Hille Saarepuu utsitab Team 2000 õrnemat poolt ja teeb vajaduse korral näputööd - õmbleb kombinesoonidele sponsorite logosid .|LOC
kombinesoon|4537651|7293818|4|49|com,el,sg|el|sg|0|obl|kombinesoonist|3|1||S|13609305|Vesi imbub kombinesoonist läbi , pritsib jäält näkku .|LOC
kombinesoon|13339099|21339708|5|49|com,ill,pl|ill|pl|0|obl|kombinesoonidesse|4|-1||S|39478240|Või kiiruisutajad kitsastesse kombinesoonidesse pugenud , mis peale kompressiooniefekti muudab keha voolujoonelisemaks .|NONE
modem|15891247|24722298|1|49|com,el,sg|el|sg|0|obl|modemist|7|1||S|45500294|võtsin siis juhtme , mis läheb modemist võrgukaarti , ja panin selle läptopile järele .|LOC
modem|16310102|25254451|2|49|com,ill,sg|ill|sg|0|obl|modemisse|8|3||S|46393529|eile öösel äikese ajal jäi mul kaabel modemisse sisse , õnneks midagi ei juhtunud .|LOC
modem|15992722|24866767|3|49|ad,com,sg|ad|sg|0|obl|modemil|2|-2||S|45755495|Minu modemil kõik tuled vilguvad , kuigi peaks põlema vaid kolm ja juhtmed peaks ka kõik ilusti ühendatud olema !|LOC
modem|15897489|24732324|4|49|ad,com,pl|ad|pl|0|obl|modemitel|14|2||S|45518054|Et järsku üks suur image ja dividega txt peale .. või võtab see modemitel liiga hinge kinni ?|NONE
modem|16008581|24889529|5|49|ad,com,sg|ad|sg|0|obl|modemil|3|1||S|45795054|Ma unustasin modemil ükskord juhtme tagasi panematta .|NONE
lahingutegevus|17886189|27267833|1|50|com,el,sg|el|sg|0|obl|lahingutegevusest|5|1||S|49750066|Kuid kui me räägime lahingutegevusest , siis usun nii , et kõige väiksema jõuüksuse pinnal moodustab lahingupaar ehk ka selles kõige väiksemas koosluses on juba partner , kelle eest sa peab kandma hoolt täpselt sama hästi , kui iseenda eest .|NONE
lahingutegevus|3237767|5202238|2|50|com,in,sg|in|sg|0|obl|lahingutegevuses|27|-1||S|9747650|Kolmapäeval toimus veel teinegi rünnak , kurjategijad tulistasid granaatidega USA baasi Bagdadi lähedal , üks USA sõdur hukkus ja seitse sai vigastada , kokku on Iraagis lahingutegevuses hukkunud juba 390 USA sõdurit .|NONE
lahingutegevus|692758|1101924|3|50|com,in,sg|in|sg|0|obl|lahingutegevuses|15|1||S|1990659|""" Kõik eestlased on elus ja terved , kuigi Kosovos Pristinas osalesime päris palju lahingutegevuses , "" lausus Vene armee palgasõdurite eriüksuses kaadriallohvitserina teeniv Toomas ( nimi muudetud ) ."|NONE
lahingutegevus|15143868|23685789|4|50|com,in,sg|in|sg|0|obl|lahingutegevuses|7|-1||S|43728012|Ametlikel andmeil on Iraagis reedeõhtuse seisuga lahingutegevuses langenud 1104 Ühendriikide sõdurit .|NONE
lahingutegevus|13292699|21266259|5|50|com,el,sg|el|sg|0|obl|lahingutegevusest|18|2||S|39338849|Kuigi Vene peaminister Vladimir Putin eitas laiaulatuslike manöövrite korraldamist Tšetšeenias , räägivad sõltumatud allikad ja Groznõi ägedast lahingutegevusest Tšetšeeni võitlejate ja föderaalvägede vahel .|NONE
neitsi|9861614|15825383|1|50|com,el,sg|el|sg|0|obl|neitsist|9|3||S|29234929|Koos muu ristirahvaga osalen minagi oma tagasihoidlikul moel neitsist sündinu ja ristil lõpetanu sünnipäeva ootuses .|NONE
neitsi|7896025|12641218|2|50|com,el,sg|el|sg|0|obl|neitsist|5|2||S|23474221|Ivo meenutas ballaadi Porkuni neitsist .|NONE
neitsi|16748211|25771790|3|50|all,com,sg|all|sg|0|obl|neitsile|17|1||S|47269182|Kuigi ma olen tähemärgi järgi kaljukits , ei tähenda see veel kaugeltki , et mul puuduksid neitsile , lõvile või jäärale sünnihoroskoobi poolt ainuomaselt omistatavad iseloomujooned .|NONE
neitsi|16089410|24975658|4|50|com,ill,sg|ill|sg|0|obl|Neitsisse|13|1||S|45939507|Mineviku varjud hajuvad kiiresti 8. oktoobrist 9. novembrini , mil Veenus jõuab Neitsisse , ehk sinu 5. päikesemajja .|NONE
neitsi|18065724|27486038|5|50|com,ill,sg|ill|sg|0|obl|Neitsisse|20|1||S|50095043|Siin algab edukas periood maamärgis ( Neitsi , Kaljukits , Sõnn ) sündinud inimestele , sest Jupiter on jõudnud Neitsisse .|NONE
ümbris|13301619|21280047|1|50|abl,com,sg|abl|sg|0|obl|ümbriselt|13|1||S|39365440|Vastuse küsimusele , miks staažika laulja esikplaat alles nüüd saadaval , leiab ümbriselt .|LOC
ümbris|9809253|15738469|2|50|ad,com,sg|ad|sg|0|obl|ümbrisel|29|3||S|29074878|Nii kirjutas üks Nirvana kahest elusolevast liikmest , Krist Novoselic , bändi ( vähemalt seni ) viimasena ilmunud albumi “ From the Muddy Banks of the Whiskah ” ümbrisel .|LOC
ümbris|6719596|10810068|3|50|abl,com,sg|abl|sg|0|obl|ümbriselt|13|2||S|20190752|Valimiku koostajad on asjale hoopis omanäolisemalt lähenenud , seda näeb juba meeliköitvalt ümbriselt , millel kelmikas pilt Jane Birkin'ist .|LOC
ümbris|8909739|14322139|4|50|com,el,sg|el|sg|0|obl|ümbrisest|5|-2||S|26524354|Aga kui sa toosi ümbrisest esile lükkad , siis tuleb toosi põhja peal mehe suust välja – tema ranne ja siis käsi ja käes kahvel , tema suu poole suunatud , saad aru , ja kahvli otsas vorst – ühel vorsti otsal viisnurk ja teisel haakrist .|LOC
ümbris|6719592|10810060|5|50|ad,com,sg|ad|sg|0|obl|ümbrisel|9|2||S|20190739|"Nii ütlebki kiri lõunanaabrite valitud prantsuse muusika kogumiku ümbrisel : "" Kaunid unelmad on tehtud Pariisist "" ."|LOC
isakodu|8325180|13342647|1|51|com,el,sg|el|sg|0|obl|Isakodust|1|-1||S|24750113|Isakodust sai aga ehituspraht võõra maa peal .|LOC
isakodu|8140311|13066878|2|51|com,in,sg|in|sg|0|obl|isakodus|3|-1||S|24257381|Nii tema isakodus Pastakul kui ka Kuudsel erines Pühik nudipäistest maatõugu suguõdedest : nimelt olid tal ilusad teravad sarved , kehaplaaniltki oli ta teistest peenem ja suursugusem .|LOC
isakodu|9278930|14907924|3|51|com,in,sg|in|sg|0|obl|isakodus|9|1||S|27597396|Saaremaal ma kalal ei käi , seal teen isakodus hädapäraseid töid , et majapidamine püsti püsiks .|LOC
isakodu|13137806|21021959|4|51|com,el,sg|el|sg|0|obl|isakodust|18|3||S|38880763|Sealt võetakse kaasa õigluse- ja puhtuseigatsus , mida õnneks nii paljud inimesed tunnevad tänapäeval väga kaugelgi oma isakodust , keset kõige julmematki võõrandumist .|LOC
isakodu|12562046|20103596|5|51|com,in,sg|in|sg|0|obl|isakodus|5|2||S|37145142|Toivo käib väga sageli isakodus Rõuges , tal on seal omaette maja .|LOC
lennusadam|1161917|1846470|1|55|com,in,sg|in|sg|0|obl|Lennusadamas|8|-1||S|3410868|Operatsioonil osalesid ka liikluspolitseinikud , kes kontrollisid Lennusadamas olnud autosid .|LOC
lennusadam|5009484|8042828|2|55|com,el,sg|el|sg|0|obl|lennusadamast|8|2||S|15021792|Mõis ütles eile , et läheb erakonnakaaslastele lennusadamast tõtt rääkima ning mingeid salaleppeid linnavalitsus sõlminud pole .|LOC
lennusadam|4528488|7279179|3|55|com,in,sg|in|sg|0|obl|Lennusadamas|15|3||S|13581991|Moskva eeslinna järgi nime saanud Venemaa mõjuvõimsaima allilmarühmituse esindajad käisid paari kuu eest Tallinna Lennusadamas , kuhu sadama valdaja Aleksandr Rotko on paigutanud 1,5 miljonit dollarit rühmituse raha , ütles sadama pärast kohtuvaidlusi pidav ärimees Viktor Perevalov .|LOC
lennusadam|5198802|8339818|4|55|com,in,sg|in|sg|0|obl|lennusadamas|6|2||S|15586115|Ebaseaduslikult alustas 2000. aasta kevadel lennusadamas ehitustöid üks Läti firma , endist vesilennukite sadamat püüti hakata ümber ehitama puidusadamaks ilma ehitusloa ja planeeringuta .|LOC
lennusadam|2605448|4180815|5|55|com,in,sg|in|sg|0|obl|lennusadamas|7|2||S|7828794|Nädalavahetuse hea ilm andis tooni ka lennusadamas , kus peeti laupäeval ja pühapäeval merepäevi , mis tõid kokku inimesed ja ka vanad laevad .|LOC
omanikfirma|8994278|14461072|1|55|abl,com,sg|abl|sg|0|obl|omanikfirmalt|6|1||S|26781736|Tallinna transpordiamet nõuab Osten Tori omanikfirmalt Sadabildilt büroohoone ehitamise käigus lõhutud bussipeatuse taastamist ja teede sulgemise eest tekkinud ligi 300 000-kroonise võla tasumist .|NONE
omanikfirma|2502999|4013576|2|55|com,el,sg|el|sg|0|obl|omanikfirmast|3|-2||S|7513849|Naissaare sadama omanikfirmast Linda Investments ei õnnestunud reedel hinnakirja kohta kommentaare saada .|NONE
omanikfirma|6251255|10041188|3|55|com,in,sg|in|sg|0|obl|omanikfirmas|23|2||S|18777414|Tuule saab kanal tiibadesse investeerimispanga Lõhmus , Haavel & Viisemann ( LHV ) abil , sest suvel omandasid LHV investorid telekanalit haldavas omanikfirmas AS Santenor enamusosaluse .|NONE
omanikfirma|2395346|3838969|4|55|abl,com,sg|abl|sg|0|obl|omanikfirmalt|8|2||S|7186831|Esimeses nõudis Soosaar Pajolt ja Raadio Pärnu omanikfirmalt OÜ Õhk au teotavate andmete ümberlükkamist ja moraalse kahju hüvitamist 50 000 krooni .|NONE
omanikfirma|11803552|18890849|5|55|com,el,sg|el|sg|0|obl|omanikfirmast|4|-1||S|34867904|Erki Berends Kuku omanikfirmast Trio LSL kinnitab : “ Tean vähemalt üht raadiokuulajat , kes paneb ämma köögis kindlasse kohta seisma , et Kuku selgesti kostaks !|NONE
ovaalsaal|7276407|11696298|1|55|com,in,sg|in|sg|0|obl|ovaalsaalis|6|1||S|21796712|Täna keskpäeval algab Valga kultuurikeskuse ovaalsaalis ajalookonverents , millega tähistatakse Valga muuseumi 50. tegevusjuubelit ja Valga maakonna 85. juubelit .|LOC
ovaalsaal|12821173|20509619|2|55|com,in,sg|in|sg|0|obl|ovaalsaalis|31|-1||S|37912122|« Kaunimate vennaskond » ehk siis kuuik Vanemuise omaaegsest menulavastusest « Kaunimad aastad su elus » , sai maha menuka juubelituuriga ning andis välja CD-plaadi , millel kümme aastat tagasi ovaalsaalis esietendunud salongiõhtu Kulno Süvalepa lauludest .|LOC
ovaalsaal|1911097|3045851|3|55|com,in,sg|in|sg|0|obl|Ovaalsaalis|27|-1||S|5697025|Välja oleks kujunenud hoopis teistsugune suhtumine - selline , nagu oli näha teleekraanil läinud nädalal Iisraeli peaministri ning Palestiina liidri Washingtoni külaskäikude puhul : Valge Maja Ovaalsaalis istub tähtis naeratav väliskülaline , ümbritsetud oma naeratavast delegatsioonist ; vastas istuvad diivanil mornilt asepresident ja välisminister , kes tunnevad end silmanähtavalt ebamugavalt vaadates pealt , kuidas Clinton vastab närviliselt ajakirjanike küsimustele mitte Lähis-Ida rahuprotsessi käigu kohta , vaid sellest , milline oli presidendi suhe 24-aastase endise Valge Maja praktikandi Monica Lewinskyga .|LOC
ovaalsaal|2915548|4673983|4|55|com,in,sg|in|sg|0|obl|ovaalsaalis|10|1||S|8769881|"Lavakunstikooli viimasel kursusel dramaturgiks õppiv Mart Kase tõi Nukuteatri ovaalsaalis lavale enda kirjutatud näidendi "" Perekond "" ."|LOC
