form|lause|classification
kooliharidusele|vihjab labori juht ja omanik Tiit Sarapuu kooliharidusele .|NONE
kooliharidusest|Psühhoteraapiline lähenemine hõlmab kõike alates kooliharidusest ja lõpetades riigivõimuga .|NONE
"""kooliharidusest"|Esimese paki sai Postimees , kes oli kirjutanud kaitseliidu Tartu maleva endise ülema Suune Tihase ja teiste ohvitseride puudulikust kooliharidusest .|"NONE"""
kooliharidusele|Haridus ei taandu ainult kooliharidusele .|NONE
Omavalitsusvalimistel|Omavalitsusvalimistel osales vaid 47,1 % hääleõiguslikest inimestest .|NONE
omavalitsusvalimistel|Eelmistel omavalitsusvalimistel Tallinna volikokku pürginud Klenski Nimekiri tegi laupäeval avalduse , milles kutsus riigikogu valimiste eel looma vasaktsentristlikku liitu ehk uut Rahvarinnet .|NONE
omavalitsusvalimistel|1996. a. oktoobris osales omavalitsusvalimistel juba 71 riigikogulast ja ka 7 ministrit .|NONE
omavalitsusvalimistel|Mõis sai eelmistel omavalitsusvalimistel ligi 1000 häält ja tema käitumine kindlasti ei mõjutanud valimistulemust .|NONE
omavalitsusvalimistel|Silmatorkavalt vähe käis omavalitsusvalimistel välismaalasi , teisisõnu Venemaa kodanikke või inimesi , kes pole oma kuuluvust veel määratlenud ja elavad Eestis elamisloa varal .|NONE
seksiäris|Raivo Kuusmets nentis , et nagu igas kaupluses , nii käib ka seksiäris pikanäpumehi .|LOC
seksiärisse|Põhja-Tai mahajäänud piirkondade tüdrukud ja poisid astuvad seksiärisse vaesuse sunnil , elatades sageli sel viisil ära oma perekonna või vanemad .|NONE
"""seksiärist"|Kui info seksiärist mullu esimest korda ajakirjandusse jõudis , eitas Venemaa kaubandusesinduse juht Valeri Šljamin esinduse töötajate seotust sellega .|"NONE"""
"""seksiäris"|""" Mõnikord on seksiäris töötada kavatsenud naised sattunud suurtesse võlgadesse ja langenud inimkaubitsejate ohvriks ."|"NONE"""
seksiäris|« Mida vanemad on prostituudid ja mida kauem nad seksiäris on töötanud , seda kaugemale keskustest nad liiguvad , » ütles Scott .|NONE
tolsamal|Niisugust sammu , mis hõlmab süsteemselt kõik Eesti alalised elanikud , olnuks vaja juba ammu , vähemalt tolsamal 1993. aastal .|NONE
NONE
tolsamal|Samavõrd silmiavav oli debatt kutsehariduse tulevikust tolsamal läinud reedel .|NONE
Tolsamal|Tolsamal , 1996. aastal jutustas ühe välisriigi suursaadik väga põhjalikult , kuidas Tiit Vähil on kavas moodustada senisest laiapõhjalisem valitsus , kus saaks mitu kohta ka Isamaaliit .|NONE
tolsamal|"Liz Franz ise pälvis oma plaadi eest tolsamal 1980. aastal ja ilmselt tollessamas "" avatud "" olümpiavaimus NSV Liidu teenelise kunstitegelase aunimetuse ."|NONE
veefestivalil|Pärnu veefestivalil Watergate esitas Dave Benton üksinda eurolaulu Everybody nii , et kuulajatel polnud häbi teda kuulata .|NONE
veefestivalil|Nõukogude võimu eest Austraaliasse putkanud kitarrist Endel Jõgi on välismaal kõva karjääri teinud : tänasel Pärnu veefestivalil esineb Endel Riversi projektis vanameister Frank Zappaga musitseerinud klahvpillivirtuoos Allan Zavod .|NONE
"""veefestivalil"|""" Kui Nobeli auhindade jagamisel oleks pürotehnika kategooria , saaks Brunch� tiim Nobeli preemia , "" seisis kirjas , mille saatis paar aastat tagasi Hispaania kuulsaima ilutulestikudünastia esindajatele Brunch�dele Nobeli fond pärast seda , kui hispaanlased olid Stockholmi veefestivalil ühe korraliku tuleetenduse korraldanud ."|"NONE"""
veefestivalil|Sel nädalavahetusel astub Pärnu veefestivalil « Watergate » üles tuntud Tartu klaverikunstnik Sven Kullerkupp pudelitest tehtud ja veega täidetud unikaalse vesioreliga , mille jaoks tassib kanistriga Tartu kraanivee kaasa .|NONE
veefestivalil|Pärnu veefestivalil muistseid võitluskunste demonstreerinud lätlased muutusid haavade pärast ainult natukene nukraks .|NONE
Hebronist|Iisraeli armee lahkus Hebronist|LOC
Hebronis|Palestiinlased pildusid eile Jordani jõe läänekaldal Hebronis toimunud ägedas kokkupõrkes süütepommidega Iisraeli sõdureid , kes vastuseks ründajaid kummikuulidega tulistasid ja 24 inimest haavasid .|LOC
Hebronis|Lisaks 100 000 araablasele elab ja õpib Hebronis umbes 400 juuti .|LOC
Hebronisse|Seitse Iisraeli tanki sisenesid Palestiina valduses olevase linna Hebronisse neljapäeva varahommikul , tulistades igas suunas , teatasid palestiinlastest ametnikud .|LOC
Hebronis|Kohtumisele eelnenud nädalavahetusel oli Jordani jõe läänekaldal ja Gaza sektoris suhteliselt rahulik , üksikud kokkupõrked toimusid aga Hebronis ja Jeruusalemmas .|LOC
Ristnast|Sajameetrine kalapüügi- ja töötlemislaev Tamula sattus merehätta eile kell 00 . 45 Ristnast 18 miili ( umbes 34 kilomeetrit ) loodes .|LOC
Ristnas|See oli siis , kui me Ristnas LSD-d proovisime , tähendab : mis proovisime ?|LOC
Ristnalt|""" Ükskord tõime ka Hiiumaalt Ristnalt kaasa ämbritäie kive , "" näitas ta merelainetest siledaks uhutud kive basseini ääres ."|LOC
"""Ristnast"|""" Vaadati eri sadamate tegelikku olukorda ja nähti , et rasked jääolud on Pärnus ja Kundas , ent Ristnast Muugani on lõunakaarte tuuled lahe lõunakalda jääst vabastanud , "" ütles veeteede ameti peadirektori asetäitja Arvo Veskimets ."|"LOC"""
Ristnas|Kõige enam sai vihma Hiiumaa , kus suvi oli põuapoolne ( Ristnas sadas 131 mm - ligi kaks korda enam kuu normist ) , vähem Kirde-Eesti , kus oli olnud liiga märg suvi .|LOC
LOC
kalastusvööndis|Sellepärast lähtutakse olemasolevatest õigusaktidest , mis määratlevad Soome jurisdiktsiooni just nimelt ainult kalastusvööndis ning mandrilaval .|LOC
kalastusvööndis|- Uus rida täidetakse juhul , kui samal päeval toimub kalapüük mõnes muus kalastusvööndis .|LOC
kalastusvööndites|Abi , mis on ette nähtud logistilise abi laevade kulude katmiseks 75% ulatuses , antakse eelkõige nende kalalaevade varustamiseks , mis tegutsevad pidevalt kalastusvööndites , kus nad ei saa hankida varusid ühenduse sadamates ning on sunnitud kasutama logistilise abi laevu raskuste tõttu , mida nad on kogenud varude hankimisel välissadamates .|LOC
kalastusvöönditesse|Ühise kalatoodete turu korraldusele alluvate ühendusse imporditavate Gröönimaalt pärinevate toodete režiim , kuigi see vastab ühise turukorralduse mehhanismidele , hõlmab vabastamist tollimaksust ja samaväärse toimega maksudest ning koguseliste piirangute ja samaväärse toimega meetmete puudumist , kui ühenduse ning Gröönimaa eest vastutava võimuorgani vahelise lepingu kohaselt ühendusele antud võimalused pääseda Gröönimaa kalastusvöönditesse ühendust rahuldavad .|LOC
NONE
Keskagentuuris|Ainuüksi 1971-1972 kasvas Lennoni kaust Luure Keskagentuuris 300 lehekülje võrra , osa sellesse kuuluvaid materjale on aga tänini salastatud .|NONE
Keskagentuuril|Ajakiri US News and World Report teatas , et USA Luure Keskagentuuril õnnestus nimetatud andmebaasi kasutades jõuda jälile Venemaalt pärit isikutele , kes ostavad Kolumbias kokku kinnisvara .|NONE
keskagentuuris|USA Luure keskagentuuris teisipäeva õhtul puhkenud tulekahju tekitas CIA peakorteris Langleys umbes miljoni dollari ulatuses kahju , teatasid CIA esindajad .|LOC
Keskagentuurile|President lubab selles Luure Keskagentuurile töö edukuse tagamiseks ümmarguselt miljard dollarit ( ehk pool Eesti riigieelarvest ) lisaraha ja annab organisatsioonile pretsedenditu käsu teha armee eriüksustega tihedamat koostööd .|NONE
hommikukohvil|Õnnelik noorpaar poseeris seltskonnaajakirjale Paide linnapea Tõnis Kõivuga hommikukohvil , grillimeistri ja kostitaja Sämmi juures ning romantilisel Jägala-Joal .|NONE
"""hommikukohvil"|Õnnelik noorpaar poseeris seltskonnaajakirjale Paide linnapea Tõnis Kõivuga hommikukohvil , grillimeistri ja kostitaja Sämmi juures ning romantilisel Jägala-Joal .|"NONE"""
Hommikukohvil|Hommikukohvil osalevad abilinnapea Liisa Pakosta , Kultuuriväärtusteameti juhataja Agne Trummal ning Spordi- ja noorsooameti juhataja Tarmo Valgepea .|NONE
Hommikukohvil|Hommikukohvil osalevad Kivimaa , kommunaalameti juhataja Ain Valdmann , Säästva Arengu ja Planeerimise Ameti juhataja asetäitja Hain Karu .|NONE
hommikukohvist|Näiteks kui reageerida rongis kupeest mööduvale kohvikäruga onule ägeda peanoogutusega , võite kindel olla , et jääte oma hommikukohvist ilma .|NONE
turismihooajal|Pealegi , turismihooajal ei torkagi see suur vahe ehk nii väga silma .|NONE
turismihooajalt|Uuelt turismihooajalt ootab linnapea juba kvalitatiivset hüpet .|NONE
turismihooajast|Möödunud turismihooajast lõikasid suurimat kasu Tallinna hotellid , kus suvekuude keskmine täituvus oli eelmistest aastatest üllatavalt suurem .|NONE
turismihooajal|Paistab , et keda pole messil , see turismihooajal ei teeni .|NONE
turismihooajal|Mis soomlasele hea , ei pruugi seda eestlasele algaval turismihooajal olla .|NONE
sõjaretkele|Võimud kutsuvad kohalikke jahimehi huntide vastasele sõjaretkele .|NONE
"""sõjaretkedele"|Andrei pärineb Murmanski lähedalt aatomiallveelaevade mereväebaasist , kust ukrainlasest isa mitshmanina kolme- kuni kuuekuulistele veealustele sõjaretkedele läks ja valgevenelannast ema kaldale ootama jäi .|"NONE"""
sõjaretkedel|Venemaa terrorismisüüdistused Tshetsheeniale põhinevad tshetsheenide augustis toime pandud sõjaretkedel Dagestani ning viiel elumajaplahvatusel Moskvas ja Lõuna-Venemaal , mis Moskva hinnangul on samuti tshetsheenide töö .|NONE
sõjaretkele|Tõenäoliselt oli Jaroslav Targa platsdarmiks Novgorod , sealt asus ta sõjaretkele , mille tulemusena Tartu kohal asunud linnus vallutati , ja sinna pöördus ta ka tagasi .|NONE
sõjaretkelt|Gavriil Popovi sõnul oleks raske endale ette kujutada näiteks Kutuzovit või Suvorovit , kes tulevad sõjaretkelt tagasi , reisikotid röövitud kaubast pungil täis .|NONE
NONE
NONE
A-kategoorias|Muusika süvaõppega koolide , muusikaklasside ja kooliväliste asutuste kooridele mõeldud A-kategoorias astub võistlustulle kuus koori .|NONE
A-kategoorias|A-kategoorias laulsid kahtlematult tugevamad naiskoorid , Vaike Uibopuu juhtis uhkelt meie naiskooride lipulaeva - Tartu Ülikooli Akadeemilist Naiskoori .|NONE
A-kategoorias|A-kategoorias laulsid kahtlematult tugevamad naiskoorid , Vaike Uibopuu juhtis uhkelt meie naiskooride lipulaeva - Tartu Ülikooli Akadeemilist Naiskoori .|NONE
Peasaalis|Peasaalis Absolut Paradisos esinevad kaks New Yorgi DJ-d , Kelee ja John Hozak ( stiiliks kaasatõmbav ja kiire tribal ja funky house ) ja Vibe'i resident DJ P . Julm .|LOC
peasaalis|Häbiväärne lugu juhtus aga Fowlkesi seti lõpus , kui järgmine DJ ei suvatsenud välja ilmuda , lõpuks siiski kohale saabudes aga kiiresti peasaalis muusika sootuks ära lõpetas .|LOC
Peasaalis|Peasaalis pakub silmailu Kinky Club eesotsas Melicia Spankiga ning lauljana esineb kulturist Inna Uit .|LOC
peasaalis|Vibe peasaalis ehk Gate 1 ruumis astuvad üles ka Vibe residendid DJ Meri ja DJ P. Julm , kelle looming on saanud palju positiivseid vastukajasid muusikaajakirjades M8 , Hot Press , Dj Magazine , Echoe , Muzik .|LOC
peasaalis|ATB-d soojendab peasaalis Eesti grupp Plazmatix ja tuntud DJ-duo Cosmonaut & Zayatzzz .|LOC
turvamisest|Turvafirma Akropol A keeldus Koonderakonna kongressi turvamisest , kuna kartis samuti ettevõtte kiskumist parteilisse konflikti .|NONE
turvamisel|Turvafirma ESS teatas eile , et Koonderakonna erakorralise kongressi turvamisel jäid turvameeste funktsioonid ebaselgeks .|NONE
turvamisel|Marylandi rahvuskaardi vastutusalas on muude riiklike objektide seas ka pealinn Washington , samuti osalevad rahvuskaartlased Pentagoni ning osariigis asuvate armee- ja lennuväe baaside turvamisel .|NONE
turvamisel|Ta kinnitas , et Legion on leidnud väga head vastuvõttu näiteks sünnipäevade ja teiste ürituste turvamisel .|NONE
"""turvamisel"|Lääne prefektuuri töötajad osalesid Tallinnas kahe suurürituse – president Lennart Meri matuste ja Suurbritannia kuninganna Elizabeth II riigivisiidi – turvamisel .|"NONE"""
Fertilitases|Erahaigla teatas täna pressiteates , et Fertilitas on kaevanud Arstiabi kvaliteedi ekspertkomisjoni kohtusse põhjusel , et nimetatud komisjon ei kaasanud Fertilitases toimunud vastsündinu surmajuhtumi uurimisse lastearste , kes oleksid andnud juhtunule oma eksperthinnangu .|LOC
Fertilitases|"Antti Oolo kirjutise pealkirjas "" Viljatu naine loodab kohtule "" ja allpealkirjas "" Erahaiglas Fertilitas emakavälist rasedust ravinud naine jäi viljatuks "" , samuti Anu Jõesaare arvamusartiklis leiduv faktiväide , nagu oleks Merike jäänud Fertilitases viljatuks , ei leia tõendamist kirjutise tekstis ega EPL-ilt ASN-ile antud hilisemates selgitustes ."|LOC
Fertilitases|Fertilitases läheb nüüd kehaväline viljastamine maksma ligikaudu 13 000 krooni , lisaks ravimid .|LOC
Fertilitasele|Tallinnas tegeleb kunstliku viljastamisega lisaks Fertilitasele Keskhaigla .|LOC
Fertilitases|Kehavälise viljastamise protseduur maksab praegu Fertilitases koos ravimitega 24 000 krooni .|LOC
eskalaatoril|Kohe , kui ilmun eskalaatoril nähtavale , kutsub mind ennast turgutama paarteist neidu , igaüks oma massaazhilaua taga - parajasti ei ole ainukestki klienti .|LOC
eskalaatoritesse|Arhitektuurikriitik Mart Kalm kinnitab , et tema suhtub eskalaatoritesse erakordselt hästi - eelkõige sellepärast , et need vähendavad jalavaeva .|LOC
eskalaatoril|Tuhandete inimestega koos sukeldun eskalaatoril maa- alusesse käiku .|LOC
eskalaatoril|Sügavale maapõhja laskuval eskalaatoril seisavad Lioni selja taga kaks võrksärkidega meest ning jutustavad teineteisele kordamööda anekdoote .|LOC
eskalaatorist|Siis jõudis rong Ovali jaama ja seesama kutt pistis jooksu ja jooksis eskalaatorist üles .|NONE
põhiklassis|Amatööride põhiklassis ( 32 paari ) osalesid ka MK-võistlustel esitosinasse jõudnud paarid .|NONE
põhiklassis|Juunior A-s tuli Tõnu Endrekson neljandaks ja Egle Trump üheksandaks , naiste põhiklassis kuulus Tatjana Jaansonile 8. ning Kalli Meriste 14. koht .|NONE
põhiklassis|Täiskasvanute põhiklassis tegid Pariisis kaasa ka tänavused Eesti meistrid ladinaameerika tantsudes Rainar Soosalu ja Kristiina Tennokese ( Rapla Alemana ) ja said finaalis kuuenda koha .|NONE
põhiklassis|Sõudeergomeetrite Concept II rahvusvahelistel võistlustel Alfa 2000 sai meeste põhiklassis teist aastat järjest esikoha Jüri Jaanson .|NONE
põhiklassis|Homsel rahvusvahelisel sõudeergomeetrite võistlusel Alfa 2003 asub kuulsaima külalisena starti veteranide klassis võistlev soomlasest kolmekordne olümpiavõitja Pertti Karppinen , meeste põhiklassis kaitseb mulluste esikohta pärnakas Tõnu Endrekson .|NONE
Saksas|Kõik see viib lugeja vältimatult äratundmiseni , et ekspressionism ei sündinud Saksas ja Eestis , nii palju kui seda siin oli , teps mitte tühja koha peale .|LOC
Saksast|Pitseri kohalikule rõivastusele jätsid läbisõitvad hansakaupmehed Saksast , Hollandist , Inglismaalt ja mujalt .|LOC
Saksast|Kui ta on üle küla mees , toob ta endale Saksast vana Mersu ja temast peetakse lugu .|LOC
Saksas|Enne kui projektijuht Jaan Lott Lõunakeskuse välja mõtles , jälgis ta kaheksa aastat , kuidas moodne kaubandus funktsib Saksas , Hollandis ja mujal .|LOC
LOC
trumlisse|Whirlpooli pesumasinal Duet Sport on sensorid , mis lasevad trumlisse täpselt nii palju vett , kui masinasse pandud riiete pesemiseks vaja .|LOC
trumlist|Seda asja nimetatakse « fusing unit » , mis koosneb trumlist ja küttekehast .|NONE
trumlisse|Kassipoeg Sylvester toibus veterinaarkliiniku abil ruttu ning pääses koju tagasi , kus ta jälle esimese asjana pesumasina trumlisse ronis .|LOC
trumlisse|Laseb keerlevasse ja kuuma trumlisse , kus see siis õhukese kihina seinale jääb .|LOC
trumlisse|Tadeuz paneb padruni trumlisse , lükkab trumli revolvrisse ja tõmbab ringi käima .|LOC
Pronksikohale|Pronksikohale jäänud Continental PremiumContact on märjal teel samuti ohutu ja auto käitub nendega isegi ootamatutes olukordades loogiliselt .|NONE
"""pronksikohalt"|Veebruaris aitas ta murdmaa koondist MMi teatesõidus Val di Fiemmes , sai aga viimases vahetuses « haamri » ja kukkus viiendalt kohalt kaheksandaks , märtsis jättis laskesuusatajate MMi teatesõidu ankruetapil üles viimase märgi ja langes pronksikohalt üheksandaks .|"NONE"""
Pronksikohale|Pronksikohale jäänud Continental PremiumContact on märjal teel samuti ohutu ja auto käitub nendega isegi ootamatutes olukordades loogiliselt .|NONE
pronksikohale|Jalga keerutab ka kunagise poistebändi New Kids On The Block pesamuna Joey McIntyre , kes jäi eelmisel hooajal pronksikohale .|NONE
pronksikohalt|Viimase 2,5 km jooksul tõrjusid pronksikohalt tugeva venelase .|NONE
NONE
stampides|Kriitikud on tihtipeale stampides kinni .|NONE
stampidesse|Ehk kuidas naised ise naisi stampidesse suruvad .|NONE
stampides|"Endist hoogu Idol pärast seda enam taastada ei suuda ja alles sõu ametlikku osa lõpetav "" Rebel Yell "" kõlab kõigis oma armas-naljakais stampides sama energiliselt kui kontserdi esimene pool ."|NONE
stampidesse|Kogupere koerafilm , mis lausa upub sellise toote stampidesse , kuid on samas tubli tasemega .|NONE
Denverisse|Reisija Matt O'Mara ütles , et pärast pooletunnist lendu teatas piloot , et lennuk naaseb Denverisse , põhjust ei teatatud .|LOC
Denveris|Otsustavaid samme regiooni majandus- ja finantskriisiga toimetulemiseks nõudis enne Vancouverisse suundumist oma Denveris peetud esinemises ka USA president Bill Clinton .|LOC
Denveris|Stars alistas kolmapäeva õhtul Maple Leafsi 3 : 2 , Avalanche kaotas aga kodujääl Denveris San Jose Sharksile 1 : 4.|LOC
Denverisse|6-aastane isane jaaguar Jorge saabus Denverisse 2005. aastal Boliiviast .|LOC
Denverisse|Me ei uskunud , et sõidame seitsmendaks mänguks Denverisse , aga ometi sõidame , ütles Kingsi juhendaja Andy Murray .|LOC
Leidal|Teisipäeval saagis Saaremaal Hakjala külas Vello oma naisel Leidal peaaegu nina peast .|NONE
Leidalgi|Müüja Valli ( 54 ) , kes on kogu aeg euroliidu poolt olnud , soovitab Leidalgi laste peale mõeldes jah ütelda .|NONE
NONE
Leidal|Et aga taimedel kurke ajakirjanike arvates nappis , tuli Leidal ja Milvil sõrmed käbedamini käima panna ning mõned kurgid põõsasse tagasi siduda .|NONE
Leidale|Näiteks siis , kui mööda keskküttetoru ülemise korruse Leidale külla läheb .|NONE
Pallasele|Eesti Ekspressile antud intervjuus heidab Nool Pallasele ette , et too ei teadnud veel suvelgi , kui pikk on staadioniring .|NONE
Pallasesse|Seetõttu astuski ta Pallasesse õpetajate Konrad Mäe ja Ado Vabbe klassi .|LOC
Pallases|1922. aasta 20. juulil sündinud Uiga alustas kunstiõpinguid Tallinna Kujutava ja Rakenduskunsti Koolis , jätkas Tartus Pallases , Tartu Riiklikus Kunstiinstituudis ning Tallinna Riiklikus Tarbekunsti Instituudis ning lõpetas ERKI 1961. aastal .|LOC
Pallaselt|Olen Pallaselt küsinud , kas meil täitmata lepinguid on tema ütleb , et pole .|NONE
Pallases|Harri Pudersell alustas õpinguid 1943. aastal Pallases , jätkas Tartu Kunstiinstituudis , mis oli sisuliselt sõjajärgne Pallas .|LOC
lootusetuses|Kuid ärge langege emotsioonidesse , ärge langetage lootusetuses pead .|NONE
lootusetusest|On ju kõige rohkem heroiinisõltlasi Ida-Virumaal , kus valitseb Eesti suurim tööpuudus , ning sealsed noored sirutavad käe süstla järele ennekõike lootusetusest ja masendusest .|NONE
lootusetusest|Et vaataja kinost lahkudes puhtast lootusetusest endale kuuli pähe ei kihutaks ?|NONE
lootusetusest|""" Siiani ei ole ükski poliitiline jõud meile konkreetset abi osutanud , kuigi olukorra lootusetusest seadusandluses teavad kõik , "" väljendas Jaadla oma nördimust ."|NONE
"""lootusetuses"|Proovisin jätkata , aga veendusin kohe ürituse lootusetuses ja palusin vahetust , ” kahetses Oper .|"NONE"""
lumelaudadel|Suusatamise MK-sarja eelviimasel etapil Falunis tulid maailmameistrivõistluste medalistid Kristina Shmigun ja Andrus Veerpalu tõrkuvatel lumelaudadel seitsmendaks .|NONE
lumelauale|Asendusvahend talveks on olemas ka veelauduritel : nemad kolivad lumelauale .|LOC
"""lumelauale"|« Lumelauasõit muutub iga aastaga populaarsemaks , ka paljud senised mäesuusatajad kolivad üle lumelauale , » kinnitab Ski & Surf House'i instruktor Indrek Ahun .|"LOC"""
lumelaudadel|Kõrval istub lumelaudadel publik , rüüpab hõõgveini ja toetab naisvõistlejaid sõbraliku naeruga .|LOC
lumelaudadel|Asjatundjad osutasid tõsiasjale , et nii esimeseks tulnud Varis kui ka kolmandana lõpetanud Gavriljuk sõitsid Atomicu lumelaudadel .|NONE
Taevaskojas|See oli püha paik , ” räägib 1942. aastast Taevaskojas suvitanud naine .|LOC
Taevaskojas|Tuur algab Kosel 5. augustil ja jätkub kuuendal Taevaskojas .|LOC
Taevaskojas|"Nädalavahetusel seab "" Viimse võttepäeva "" trupp ennast sisse Taevaskojas , kus kolmkümmend aastat tagasi ka päriselt paar stseeni "" Viimsest reliikviast "" mängiti ."|LOC
Taevaskojas|“ Isaks sai Gabriel päeval , mil ta vaevles Taevaskojas puu külge seotuna ja pistoda kõril ( “ Sure , raisk ! ” ) .|LOC
Taevaskojas|"Aleksandr Goloborodko meenutas Taevaskojas 20. augustil 1969. aastal filmitud stseeni , kus ta võttis puu külge kinni seotuna vastu Eve Kivi teate : "" Saša , tantsi , sul sündis tütar ! "" ."|LOC
Elbruselt|Jaan tuli Elbruselt tagasi ja ronis 6 meetrit mööda Haapsalu kirikutorni sisemist lagunenud kiviseina selleks , et hiljem jookseks tulejutt üles .|LOC
Elbrusele|Priit põrutas Elbrusele ( eelnevalt Jaan Künnapilt välja peilinud , mis kõik kaasa peab võtma ) , elu kallim jope ( maksis 3600 krooni ) seljas ja tuttuued matkasaapad jalas .|LOC
ELBRUSELT|ELBRUSELT : kõrgmäestikulaagrist tulnud ETV saatejuht Sulev Valner võitis teisi ajakirjanikke Valgas kolmandat korda|LOC
LOC
Elbrusele|Ta võtab Elbrusele tõukeratta ka kaasa .|LOC
kaitsepolitseiametile|Eelmisel nädalal eraldas valitsus kaitsepolitseiametile 3,7 miljonit krooni kaitsepolitsei tulevase Lõuna-Eesti keskuse renoveerimiseks .|NONE
Kaitsepolitseiametile|Valitsus eraldas oma reservist Kaitsepolitseiametile 204 500 krooni suuruse summa ülesannete täitmiseks vajalikeks investeeringuteks .|NONE
Kaitsepolitseiametist|Minu küsimus on selline : kas Kaitsepolitseiamet saatis need kirjad omal initsiatiivil või teie või valitsuse taotlusel ja kas selleks ajaks , kui need kirjad Kaitsepolitseiametist teie ministeeriumisse saabusid , oli kriminaalasi juba algatatud ning kas tegemist ei olnud mitte eeluurimismaterjalide avalikustamisega ?|NONE
Kaitsepolitseiametil|Kuna Ülo Koidu surmas ei ole tuvastatud midagi kriminaalset , puudub Kaitsepolitseiametil , Politseiametil ja Piirivalveametil alus nimetatud isiku surma asjaolude väljaselgitamiseks ning seega informatsioon selle kohta , millal ja millistel asjaoludel Ülo Koit sattus Lätimaale .|NONE
Kaitsepolitseiametile|Jälitustegevuse seaduse uus muudetud ja täiendatud variant annab Kaitsepolitseiametile ja Politseiametile õiguse asutada varistruktuure .|NONE
kanuumatkast|Seiklushimulistele mõeldud kanuumatkast võttis osa 101 meest ja 46 naist , kellest vanim oli 50- ja noorim nelja-aastane .|NONE
kanuumatkast|Hommikul aknale peksvaid vihmapiisku vaadates paneb kujutlus päev läbi kestvast kanuumatkast hambad plagisema .|NONE
kanuumatkal|afroplika: ma k2isin kanuumatkal :P|NONE
NONE
kanuumatkadele|Kes kanuumatkadele vaheldust otsib , kuid siiski oma vaba aega vee peal sisustada soovib , võib valida sõidukiks kummiparve .|NONE
Protestimarsist|Protestimarsist võttis osa ka peaminister Gonzalez , kes sammus kõrvuti oma rivaali Aznariga .|NONE
protestimarsil|Suurimal protestimarsil Los Angeleses osales üle 70 000 inimese .|NONE
Protestimarsile|Protestimarsile eelnenud miitingul oli vastu võetud Valgevene võimude tegevust tauniv resolutsioon , kus eriti ägedalt kritiseeriti Venemaaga liitriigi moodustamist .|NONE
protestimarsil|Soome üliõpilasühenduste korraldatud protestimarsil osales ligi 10 000 tudengit .|NONE
Protestimarsile|Protestimarsile eelnenud miitingul osalenud võtsid vastu riigivõimude tegevust tauniva resolutsiooni , milles eriti ägedalt kritiseeriti Venemaa-Valgevene liidu moodustamist .|NONE
võrkpalluritel|Paralleelselt Eesti meistrivõistlustega käivad võrkpalluritel ka karikavõistlused .|NONE
võrkpalluritest|Tigeda pilguga venelasest diktaatori vandumise asemel kuulevad Raisio mängijad nüüd demokraat  Jouko Lindgreni  kannustusi ja ergutusi ning - oh imet - Loimu lipp lehvib taas kõrgel ning võrkpalluritest kiirgab enesekindlust ja teotahet .|NONE
võrkpalluritest|Vaatasin , kes võrkpalluritest kadunud on , ja siis oli mul pilt selge .|NONE
võrkpalluritel|” Ainsana tuleb kohale lätlase ostnud pereisa , kes kõigil võrkpalluritel kätt surub .|NONE
võrkpalluritel|VÕRKPALL Laupäeval Eesti meistriks kroonitud Tartu Pere Leiva võrkpalluritel seisab juba täna ees uus katsumus , kui Eesti-Läti ühisliiga veerandfinaalis ollakse vastakuti Falck Pärnuga .|NONE
munakividele|Harjumatult kliendirohke päeva saginas pudeneb paar tühja õlleklaasi Milleniumi väikse brüneti käest kandikult munakividele kildudeks .|LOC
munakividele|""" Nad ju ainult ei loobi pudeleid munakividele puruks , "" on ta nördinud ."|"LOC"""
munakividel|Mulle ei meeldi vanalinnas munakividel turistidelt raha väljameelitamine .|LOC
munakividel|Eilseteks tippüritusteks kujunesid maastikurattaralli vanalinna munakividel ja Toompea nõlval , kus üksteisest võttis mõõtu kogu Eesti ratturite koorekiht .|LOC
munakividel|Aga unenäos ei saa su paljad jalad munakividel siniseid muhke .|LOC
kontoriruumis|Umbes kell 15.15 sisenes seni tundmatu maskis mees Kiviõlis Vabaduse puiestee 13 asuvasse TRC Tubaka kontorisse ja ähvardas kontoriruumis üksinda viibinud raamatupidajat automaadisarnase esemega .|LOC
Kontoriruumidele|Kontoriruumidele annavad Tallinna Katariina käigu töökodadele iseloomulikku ajaloolist hõngu siin-seal väljapuhastatud aampalgid , kaaristud ja muud detailid .|LOC
kontoriruumides|Suurem osa poliitilistest ringkondadest teeb tööd üüritud kontoriruumides , vaesematel peaaegu polegi kohta , kus mõttetalguid pidada .|LOC
Kontoriruumidesse|Kontoriruumidesse ja kööki sobivad Mummi sõnul väikesed , 15-liitrised boilerid käte või nõude pesemiseks .|LOC
kontoriruumis|Hämaras , vaid kohtvalgustusega kontoriruumis istusid tursked turvamehed ja arutasid midagi kontorihoone plaanide juures .|LOC
mardipäeval|"Vanasõnagi ütleb , et kui mardipäeval külmetab , siis kadripäeval sulatab , "" ütles ilmavaatleja Põldoja ."|NONE
mardipäeval|Igal mardipäeval jooksevad lapsed kostümeeritult marti läbi vanalinna ja alati viib teekond läbi ka Riigikogust .|NONE
mardipäeval|Luuletuse tegin ka mõne aasta hiljem , mardipäeval , kui sündis poiss .|NONE
mardipäeval|Sagedamini lõppes hingedeaeg siiski mardipäeval ( 10. november ) .|NONE
NONE
